Index,Status,Current(mA),Voltage(V),Capacity(mAh),Energy(Wh),RelaTime(h:min:s.ms),AbsoTime(h:min:s.ms)
48424,Charging,1454.59997558594,12.3338,0.384027777777778,0.00471572222222222,0:00:01.000,2005-01-02 08:26:48
48425,Charging,1454.59997558594,12.3437,0.78825,0.00970369444444445,0:00:02.000,2005-01-02 08:26:49
48426,Charging,1454.59997558594,12.3511,1.19236111111111,0.0146938611111111,0:00:03.000,2005-01-02 08:26:50
48427,Charging,1456.40002441406,12.3586,1.59655555555556,0.0196879722222222,0:00:04.000,2005-01-02 08:26:51
48428,Charging,1454.59997558594,12.3635,2.00066666666667,0.0246833333333333,0:00:05.000,2005-01-02 08:26:52
48429,Charging,1454.59997558594,12.3685,2.40477777777778,0.029681,0:00:06.000,2005-01-02 08:26:53
48430,Charging,1454.59997558594,12.3735,2.80897222222222,0.03468175,0:00:07.000,2005-01-02 08:26:54
48431,Charging,1454.59997558594,12.3784,3.21308333333333,0.0396833333333333,0:00:08.000,2005-01-02 08:26:55
48432,Charging,1454.59997558594,12.3834,3.61713888888889,0.0446861111111111,0:00:09.000,2005-01-02 08:26:56
48433,Charging,1454.59997558594,12.3883,4.02133333333333,0.0496928333333333,0:00:10.000,2005-01-02 08:26:57
48434,Charging,1454.59997558594,12.3933,4.4255,0.0547004444444444,0:00:11.000,2005-01-02 08:26:58
48435,Charging,1454.59997558594,12.3983,4.82955555555556,0.0597088333333333,0:00:12.000,2005-01-02 08:26:59
48436,Charging,1454.59997558594,12.4007,5.23372222222222,0.0647201388888889,0:00:13.000,2005-01-02 08:27:00
48437,Charging,1454.59997558594,12.4082,5.63777777777778,0.0697330277777778,0:00:14.000,2005-01-02 08:27:01
48438,Charging,1454.59997558594,12.4107,6.04186111111111,0.0747479722222222,0:00:15.000,2005-01-02 08:27:02
48439,Charging,1454.59997558594,12.4156,6.44591666666667,0.0797639722222222,0:00:16.000,2005-01-02 08:27:03
48440,Charging,1454.59997558594,12.4206,6.84997222222222,0.0847816666666667,0:00:17.000,2005-01-02 08:27:04
48441,Charging,1454.59997558594,12.4255,7.25402777777778,0.089801,0:00:18.000,2005-01-02 08:27:05
48442,Charging,1456.40002441406,12.428,7.65819444444444,0.0948229166666667,0:00:19.000,2005-01-02 08:27:06
48443,Charging,1454.59997558594,12.433,8.06227777777778,0.0998458333333333,0:00:20.000,2005-01-02 08:27:07
48444,Charging,1456.40002441406,12.4355,8.46638888888889,0.104870472222222,0:00:21.000,2005-01-02 08:27:08
48445,Charging,1454.59997558594,12.4379,8.8705,0.109896472222222,0:00:22.000,2005-01-02 08:27:09
48446,Charging,1454.59997558594,12.4429,9.27466666666667,0.114924638888889,0:00:23.000,2005-01-02 08:27:10
48447,Charging,1454.59997558594,12.4479,9.67872222222222,0.119953,0:00:24.000,2005-01-02 08:27:11
48448,Charging,1454.59997558594,12.4503,10.0827777777778,0.124983027777778,0:00:25.000,2005-01-02 08:27:12
48449,Charging,1454.59997558594,12.4528,10.4868611111111,0.130015,0:00:26.000,2005-01-02 08:27:13
48450,Charging,1454.59997558594,12.4578,10.8909166666667,0.135047972222222,0:00:27.000,2005-01-02 08:27:14
48451,Charging,1456.40002441406,12.4603,11.2951666666667,0.140084722222222,0:00:28.000,2005-01-02 08:27:15
48452,Charging,1456.40002441406,12.4652,11.6993888888889,0.145122277777778,0:00:29.000,2005-01-02 08:27:16
48453,Charging,1454.59997558594,12.4677,12.1035277777778,0.150160666666667,0:00:30.000,2005-01-02 08:27:17
48454,Charging,1456.40002441406,12.4727,12.5076944444444,0.155200472222222,0:00:31.000,2005-01-02 08:27:18
48455,Charging,1454.59997558594,12.4751,12.9118611111111,0.160241777777778,0:00:32.000,2005-01-02 08:27:19
48456,Charging,1454.59997558594,12.4776,13.3159444444444,0.165283638888889,0:00:33.000,2005-01-02 08:27:20
48457,Charging,1454.59997558594,12.4826,13.7201111111111,0.170327472222222,0:00:34.000,2005-01-02 08:27:21
48458,Charging,1454.59997558594,12.4851,14.12425,0.17537275,0:00:35.000,2005-01-02 08:27:22
48459,Charging,1454.59997558594,12.4875,14.5283611111111,0.180418861111111,0:00:36.000,2005-01-02 08:27:23
48460,Charging,1454.59997558594,12.4925,14.9324722222222,0.185466361111111,0:00:37.000,2005-01-02 08:27:24
48461,Charging,1454.59997558594,12.495,15.3365833333333,0.190515,0:00:38.000,2005-01-02 08:27:25
48462,Charging,1454.59997558594,12.4975,15.7406388888889,0.195564416666667,0:00:39.000,2005-01-02 08:27:26
48463,Charging,1454.59997558594,12.5024,16.14475,0.200616055555556,0:00:40.000,2005-01-02 08:27:27
48464,Charging,1454.59997558594,12.5049,16.5489166666667,0.205669472222222,0:00:41.000,2005-01-02 08:27:28
48465,Charging,1454.59997558594,12.5124,16.9529722222222,0.210722972222222,0:00:42.000,2005-01-02 08:27:29
48466,Charging,1454.59997558594,12.5124,17.3571388888889,0.215779611111111,0:00:43.000,2005-01-02 08:27:30
48467,Charging,1454.59997558594,12.5173,17.7611944444444,0.220836444444444,0:00:44.000,2005-01-02 08:27:31
48468,Charging,1454.59997558594,12.5198,18.16525,0.225894611111111,0:00:45.000,2005-01-02 08:27:32
48469,Charging,1454.59997558594,12.5223,18.5693611111111,0.2309545,0:00:46.000,2005-01-02 08:27:33
48470,Charging,1456.40002441406,12.5272,18.9735277777778,0.2360165,0:00:47.000,2005-01-02 08:27:34
48471,Charging,1454.59997558594,12.5297,19.3775833333333,0.241078333333333,0:00:48.000,2005-01-02 08:27:35
48472,Charging,1454.59997558594,12.5322,19.7816944444444,0.246142166666667,0:00:49.000,2005-01-02 08:27:36
48473,Charging,1454.59997558594,12.5347,20.1859166666667,0.251208416666667,0:00:50.000,2005-01-02 08:27:37
48474,Charging,1454.59997558594,12.5372,20.5900277777778,0.256274611111111,0:00:51.000,2005-01-02 08:27:38
48475,Charging,1456.40002441406,12.5421,20.9941944444444,0.261342833333333,0:00:52.000,2005-01-02 08:27:39
48476,Charging,1454.59997558594,12.5446,21.3983333333333,0.266412,0:00:53.000,2005-01-02 08:27:40
48477,Charging,1454.59997558594,12.5471,21.8024722222222,0.271481972222222,0:00:54.000,2005-01-02 08:27:41
48478,Charging,1454.59997558594,12.5496,22.2065277777778,0.276552722222222,0:00:55.000,2005-01-02 08:27:42
48479,Charging,1454.59997558594,12.5545,22.6106944444444,0.281625722222222,0:00:56.000,2005-01-02 08:27:43
48480,Charging,1454.59997558594,12.557,23.0148055555556,0.286699111111111,0:00:57.000,2005-01-02 08:27:44
48481,Charging,1454.59997558594,12.5595,23.4188611111111,0.291773111111111,0:00:58.000,2005-01-02 08:27:45
48482,Charging,1454.59997558594,12.562,23.8229722222222,0.296848944444444,0:00:59.000,2005-01-02 08:27:46
48483,Charging,1454.59997558594,12.5644,24.2271388888889,0.301926416666667,0:01:00.000,2005-01-02 08:27:47
48484,Charging,1454.59997558594,12.5669,24.63125,0.307004333333333,0:01:01.000,2005-01-02 08:27:48
48485,Charging,1454.59997558594,12.5719,25.0353611111111,0.3120835,0:01:02.000,2005-01-02 08:27:49
48486,Charging,1454.59997558594,12.5719,25.4395277777778,0.317164666666667,0:01:03.000,2005-01-02 08:27:50
48487,Charging,1454.59997558594,12.5768,25.8435833333333,0.322245611111111,0:01:04.000,2005-01-02 08:27:51
48488,Charging,1454.59997558594,12.5793,26.2476944444444,0.327328472222222,0:01:05.000,2005-01-02 08:27:52
48489,Charging,1454.59997558594,12.5818,26.65175,0.332411777777778,0:01:06.000,2005-01-02 08:27:53
48490,Charging,1456.40002441406,12.5843,27.0558611111111,0.337496916666667,0:01:07.000,2005-01-02 08:27:54
48491,Charging,1454.59997558594,12.5868,27.4599722222222,0.342583055555556,0:01:08.000,2005-01-02 08:27:55
48492,Charging,1454.59997558594,12.5892,27.8641388888889,0.347670666666667,0:01:09.000,2005-01-02 08:27:56
48493,Charging,1456.40002441406,12.5917,28.26825,0.352758777777778,0:01:10.000,2005-01-02 08:27:57
48494,Charging,1454.59997558594,12.5942,28.6723611111111,0.357848166666667,0:01:11.000,2005-01-02 08:27:58
48495,Charging,1454.59997558594,12.5992,29.0765277777778,0.362939472222222,0:01:12.000,2005-01-02 08:27:59
48496,Charging,1454.59997558594,12.6016,29.4806388888889,0.368031111111111,0:01:13.000,2005-01-02 08:28:00
48497,Charging,1454.59997558594,12.6041,29.88475,0.373123638888889,0:01:14.000,2005-01-02 08:28:01
48498,Charging,1454.59997558594,12.6066,30.2889166666667,0.378217944444444,0:01:15.000,2005-01-02 08:28:02
48499,Charging,1454.59997558594,12.6091,30.6930277777778,0.383312722222222,0:01:16.000,2005-01-02 08:28:03
48500,Charging,1454.59997558594,12.6116,31.0973333333333,0.388411277777778,0:01:17.000,2005-01-02 08:28:04
48501,Charging,1456.40002441406,12.614,31.5014722222222,0.393508888888889,0:01:18.000,2005-01-02 08:28:05
48502,Charging,1454.59997558594,12.619,31.9055833333333,0.39860775,0:01:19.000,2005-01-02 08:28:06
48503,Charging,1454.59997558594,12.6215,32.3096111111111,0.403707,0:01:20.000,2005-01-02 08:28:07
48504,Charging,1454.59997558594,12.624,32.7136666666667,0.408807277777778,0:01:21.000,2005-01-02 08:28:08
48505,Charging,1454.59997558594,12.6264,33.1177222222222,0.413908777777778,0:01:22.000,2005-01-02 08:28:09
48506,Charging,1454.59997558594,12.6289,33.5218055555556,0.419012111111111,0:01:23.000,2005-01-02 08:28:10
48507,Charging,1454.59997558594,12.6314,33.9258611111111,0.424115388888889,0:01:24.000,2005-01-02 08:28:11
48508,Charging,1454.59997558594,12.6339,34.33,0.429221111111111,0:01:25.000,2005-01-02 08:28:12
48509,Charging,1454.59997558594,12.6364,34.7340555555556,0.434326527777778,0:01:26.000,2005-01-02 08:28:13
48510,Charging,1454.59997558594,12.6388,35.1380833333333,0.439433166666667,0:01:27.000,2005-01-02 08:28:14
48511,Charging,1454.59997558594,12.6413,35.5423055555556,0.444542833333333,0:01:28.000,2005-01-02 08:28:15
48512,Charging,1456.40002441406,12.6438,35.9464444444444,0.449652638888889,0:01:29.000,2005-01-02 08:28:16
48513,Charging,1454.59997558594,12.6463,36.3505,0.454762277777778,0:01:30.000,2005-01-02 08:28:17
48514,Charging,1456.40002441406,12.6488,36.7546388888889,0.459874388888889,0:01:31.000,2005-01-02 08:28:18
48515,Charging,1454.59997558594,12.6512,37.15875,0.464986527777778,0:01:32.000,2005-01-02 08:28:19
48516,Charging,1454.59997558594,12.6537,37.5628333333333,0.470099944444444,0:01:33.000,2005-01-02 08:28:20
48517,Charging,1454.59997558594,12.6562,37.9669722222222,0.475214888888889,0:01:34.000,2005-01-02 08:28:21
48518,Charging,1454.59997558594,12.6587,38.3711388888889,0.480330666666667,0:01:35.000,2005-01-02 08:28:22
48519,Charging,1454.59997558594,12.6612,38.7751666666667,0.485446333333333,0:01:36.000,2005-01-02 08:28:23
48520,Charging,1454.59997558594,12.6636,39.1793888888889,0.490564555555556,0:01:37.000,2005-01-02 08:28:24
48521,Charging,1454.59997558594,12.6661,39.5834722222222,0.495682888888889,0:01:38.000,2005-01-02 08:28:25
