TIME,Main(mA),Main Voltage(V),TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1688747169,728.192302495063,11.961305555555557,38.0,12.8,31.0,0.0,0.0,16.0,0.0,-1.0,-1.0
1688747170,712.1559353266052,11.961515000000002,38.0,12.8,31.0,0.0,0.0,16.0,0.0,1.0,1.0
1688747171,723.4240550214912,11.961392156862743,38.0,12.8,31.0,0.0,0.0,28.0,0.0,1.0,1.0
1688747172,724.5710900775517,11.961903061224486,38.0,12.8,32.0,0.0,0.0,11.0,0.0,1.0,1.0
1688747173,724.6957244278763,11.960915000000004,38.0,12.8,33.0,0.0,0.0,26.0,0.0,1.0,1.0
1688747174,721.2089627244849,11.961275000000002,38.0,12.8,34.0,0.0,0.0,19.0,2.0,1.0,1.0
1688747175,722.5068460236163,11.961375000000002,39.0,12.8,36.0,0.0,0.0,21.0,0.0,1.0,1.0
1688747176,737.6224887632332,11.96192,39.0,12.8,36.5,0.0,0.0,22.0,0.0,1.0,1.0
1688747177,718.9296325402511,11.961704999999997,39.0,12.8,37.0,0.0,0.0,23.0,0.0,1.0,1.0
1688747178,743.3500814532634,11.961745000000006,39.0,12.8,35.0,0.0,1.0,43.0,1.0,2.0,1.0
1688747179,717.6111702748875,11.963051020408164,39.0,12.8,35.0,0.0,0.0,32.0,0.0,2.0,1.0
1688747180,737.254855859911,11.961833333333333,39.0,12.8,35.0,0.0,0.0,50.0,4.0,-1.0,-1.0
1688747181,731.5955137150105,11.961845,39.0,12.8,35.0,0.0,1.0,30.0,1.0,3.0,1.0
1688747182,725.1975395989651,11.961908163265305,39.0,12.8,35.0,0.0,0.0,47.0,3.0,3.0,1.0
1688747183,752.5146266540922,11.961485000000003,39.0,12.8,36.0,0.0,1.0,37.0,1.0,4.0,1.0
1688747184,719.4784795974074,11.961651960784312,39.0,12.8,35.5,0.0,0.5,39.0,2.5,4.0,1.0
1688747185,743.3430415342597,11.962122448979594,39.0,12.8,35.0,0.0,0.0,41.0,4.0,5.0,1.0
1688747186,718.7263273008606,11.961200000000002,39.0,12.8,35.0,0.0,0.0,32.0,0.0,5.0,1.0
1688747187,735.6845062390789,11.962025,39.0,12.8,35.0,0.0,0.0,51.0,4.0,5.0,1.0
1688747188,735.9565140876865,11.962280000000003,39.0,12.8,35.0,0.0,1.0,31.0,1.0,6.0,1.0
1688747189,727.7005884465857,11.961114999999998,39.0,12.8,35.0,0.0,0.0,46.0,3.0,6.0,1.0
1688747190,787.2789254958814,11.959805,39.0,12.8,35.0,0.0,0.0,39.0,1.0,7.0,1.0
1688747191,725.0663078764342,11.961617346938777,39.0,12.8,38.0,0.0,0.0,43.0,5.0,7.0,1.0
1688747192,740.3857040438016,11.960598039215684,39.5,12.8,36.5,0.0,0.0,42.0,3.0,8.0,1.0
1688747193,728.1885728107706,11.961764999999998,40.0,12.8,35.0,0.0,0.0,41.0,1.0,8.0,1.0
1688747194,733.0307379103737,11.96166836734694,40.0,12.8,38.0,0.0,0.0,37.0,4.0,8.0,1.0
1688747195,731.1777512506898,11.961275000000002,40.0,12.8,35.0,0.0,1.0,31.0,0.0,9.0,1.0
1688747196,726.0794646692517,11.96141176470588,40.0,12.8,38.0,0.0,0.0,49.0,0.0,9.0,1.0
1688747197,743.4529508568895,11.960875,40.0,12.8,35.0,0.0,0.0,33.0,4.0,10.0,1.0
1688747198,729.4291288649589,11.962433673469386,40.0,12.8,38.0,0.0,0.0,46.0,1.0,10.0,1.0
1688747199,736.7425762011336,11.961559999999997,40.0,12.8,35.0,0.0,0.0,38.0,4.0,10.0,1.0
1688747200,734.4251447634637,11.96179411764706,40.0,12.8,37.0,0.0,0.0,40.0,0.0,11.0,1.0
1688747201,735.3067479894089,11.960653061224487,40.0,12.8,36.0,0.0,0.0,43.5,2.0,11.0,1.0
1688747202,734.3245490723566,11.961655,40.0,12.8,35.0,0.0,0.0,47.0,4.0,12.0,1.0
1688747203,732.4276246863835,11.961495000000005,40.0,12.8,37.0,0.0,0.0,49.0,0.0,12.0,1.0
1688747204,740.496593511119,11.961102040816325,40.0,12.8,35.0,0.0,0.0,35.0,4.0,13.0,1.0
1688747205,727.1539255649773,11.962475490196082,40.0,12.8,35.0,0.0,0.0,47.0,1.0,13.0,1.0
1688747206,737.6009479531931,11.96049,40.0,12.8,35.0,0.0,0.0,35.0,4.0,13.0,1.0
1688747207,731.3013661594614,11.962025510204082,40.0,12.8,36.0,0.0,0.0,42.0,0.0,14.0,1.0
1688747208,727.5706055514243,11.961524999999996,40.0,12.8,35.0,0.0,0.0,44.0,4.0,14.0,1.0
1688747209,734.3775062291751,11.961333333333336,40.0,12.8,35.0,0.0,1.0,36.0,0.0,15.0,1.0
1688747210,730.035514776153,11.961484999999996,40.0,12.8,35.0,0.0,0.5,42.5,2.0,15.0,1.0
1688747211,737.9964165023644,11.96087755102041,40.0,12.8,35.0,0.0,0.0,49.0,4.0,16.0,1.0
1688747212,734.2754548863246,11.962729999999995,40.0,12.8,35.0,0.0,1.0,47.0,0.0,16.0,1.0
1688747213,738.3418696418075,11.960630000000002,40.0,12.8,35.0,0.0,0.0,38.0,5.0,16.0,1.0
1688747214,738.5197898728866,11.961370000000004,40.0,12.8,35.0,0.0,1.0,42.0,0.0,17.0,1.0
1688747215,726.3342749223583,11.961199999999998,40.0,12.8,37.0,0.0,0.0,43.0,5.0,17.0,1.0
1688747216,741.893998866637,11.961068627450985,40.0,12.8,35.0,0.0,0.0,39.0,0.0,18.0,1.0
1688747217,729.4919861354687,11.962051020408165,40.0,12.8,38.0,0.0,0.0,46.0,0.0,18.0,1.0
1688747218,741.7938020403687,11.961465,40.0,12.8,35.0,0.0,0.0,33.0,4.0,19.0,1.0
1688747219,746.1829676132443,11.961905,40.0,12.8,36.5,0.0,0.0,40.0,2.5,19.0,1.0
1688747220,726.0915940020884,11.96112244897959,40.0,12.8,38.0,0.0,0.0,47.0,1.0,19.0,1.0
1688747221,748.877807248287,11.961151960784315,41.0,12.8,35.0,0.0,0.0,37.0,5.0,20.0,1.0
1688747222,721.5161603489498,11.96142,41.0,12.8,38.0,0.0,0.0,37.0,0.0,20.0,1.0
1688747223,746.5394914760323,11.96122959183674,41.0,12.8,35.0,0.0,0.0,41.0,4.0,21.0,1.0
1688747224,727.3342921219669,11.96179,40.0,12.8,37.0,0.0,0.0,42.0,0.0,21.0,1.0
1688747225,730.0625785053383,11.960602941176472,41.0,12.8,35.0,0.0,0.0,39.0,4.0,21.0,1.0
1688747226,736.9472137309712,11.96078,41.0,12.8,36.0,0.0,0.0,42.5,2.5,22.0,1.0
1688747227,724.2464938138387,11.960857142857146,41.0,12.8,37.0,0.0,0.0,46.0,1.0,22.0,1.0
1688747228,751.8995557285463,11.961455,41.0,12.8,35.0,0.0,0.0,34.0,4.0,23.0,1.0
1688747229,722.7136192514955,11.961260204081633,41.0,12.8,37.0,0.0,0.0,39.0,0.0,23.0,1.0
1688747230,745.1767567717834,11.960828431372551,41.0,12.8,35.0,0.0,0.0,45.0,5.0,24.0,1.0
1688747231,778.5384653845322,11.960325000000005,41.0,12.8,36.0,0.0,0.0,37.0,0.0,24.0,1.0
