TIME,Main(mA),Main Voltage(V),TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1688572432,635.3401795480087,11.960755555555556,38.0,2.0,31.0,0.0,0.0,20.0,0.0,-1.0,-1.0
1688572433,636.304636968063,11.960571428571424,38.0,2.0,31.0,0.0,0.0,31.0,0.0,-1.0,-1.0
1688572434,633.9497475556476,11.960795,38.0,2.0,31.0,0.0,0.0,50.0,0.0,1.0,1.0
1688572435,633.9010616969737,11.96121,38.0,2.0,31.0,0.0,0.0,35.0,0.0,1.0,1.0
1688572436,635.3433936820278,11.959813725490196,38.0,2.0,31.5,0.0,0.0,30.5,0.0,1.0,1.0
1688572437,630.5571611814063,11.960586734693877,38.0,2.0,32.0,0.0,0.0,26.0,0.0,1.0,1.0
1688572438,635.6318754301578,11.960695000000005,38.0,2.0,32.0,0.0,0.0,29.0,0.0,1.0,1.0
1688572439,629.6138042232249,11.960779999999998,38.0,2.0,32.0,0.0,0.0,16.0,0.0,1.0,1.0
1688572440,633.9531314416031,11.960489795918368,38.0,2.0,33.0,0.0,0.0,34.0,0.0,1.0,1.0
1688572441,638.2344637494905,11.959980392156863,38.0,2.0,33.0,0.0,0.0,34.5,0.0,1.0,1.0
1688572442,631.2022339098183,11.96052551020408,38.0,2.0,33.0,0.0,0.0,35.0,0.0,1.0,1.0
1688572443,634.9510846830187,11.959960000000002,39.0,2.0,34.0,0.0,0.0,46.0,1.0,1.0,1.0
1688572444,634.5931974027354,11.959595,38.0,2.0,34.0,0.0,0.0,22.0,0.0,1.0,1.0
1688572445,629.5699339259196,11.960234693877554,38.5,2.0,34.5,0.0,0.0,21.5,0.0,1.0,1.0
1688572446,635.0334551054544,11.96117,39.0,2.0,35.0,0.0,0.0,21.0,0.0,1.0,1.0
1688572447,633.3808908087055,11.960392156862746,39.0,2.0,35.0,0.0,0.0,18.0,0.0,1.0,1.0
1688572448,636.255461832901,11.960591836734691,39.0,2.0,36.0,0.0,0.0,27.0,0.0,1.0,1.0
1688572449,640.9168672070144,11.960015,39.0,2.0,35.5,0.0,0.0,31.0,0.0,1.0,1.0
1688572450,637.8897863977181,11.960045000000004,39.0,2.0,35.0,0.0,0.0,35.0,0.0,1.0,1.0
1688572451,636.2888841942232,11.959801020408165,39.0,2.0,38.0,0.0,0.0,58.0,2.0,1.0,1.0
1688572452,630.5925592653407,11.960544117647064,39.0,2.0,36.5,0.0,1.0,52.0,1.0,1.0,1.0
1688572453,628.3083351360044,11.96023,39.0,2.0,35.0,0.0,2.0,46.0,0.0,1.0,1.0
1688572454,640.5048953181505,11.959729591836734,39.0,2.0,34.0,0.0,0.0,38.0,1.0,2.0,1.0
1688572455,639.107594785407,11.959765000000004,39.0,2.0,35.0,0.0,0.0,47.0,0.0,2.0,1.0
1688572456,636.6451977602279,11.960135000000005,39.0,2.0,37.0,2.0,0.0,49.0,2.0,2.0,1.0
1688572457,633.3865483957843,11.959813725490196,39.0,2.0,36.0,2.0,0.0,55.0,2.0,2.0,1.0
1688572458,629.3803448417577,11.96012244897959,39.0,2.0,35.0,2.0,0.0,61.0,2.0,2.0,1.0
1688572459,637.5239424316188,11.96013,39.0,2.0,34.0,0.0,2.0,39.0,0.0,3.0,1.0
1688572460,639.3941225069273,11.961094999999997,39.0,2.0,35.0,0.0,0.0,58.0,0.0,3.0,1.0
1688572461,637.6240335724335,11.960525000000002,39.0,2.0,35.5,1.0,0.0,49.0,2.0,3.0,1.0
1688572462,634.1314387599173,11.96033163265306,39.0,2.0,36.0,2.0,0.0,40.0,4.0,3.0,1.0
1688572463,631.0314640089065,11.960730392156863,39.0,2.0,36.0,2.0,0.0,58.0,1.0,3.0,1.0
1688572464,629.6190303209017,11.960359999999998,39.0,2.0,35.0,2.0,0.0,39.0,0.0,3.0,1.0
1688572465,642.5433831982388,11.960005102040816,39.0,2.0,35.0,2.0,1.0,53.0,0.0,4.0,1.0
1688572466,639.6793131647834,11.96055,39.0,2.0,36.0,2.0,0.5,50.5,0.0,4.0,1.0
1688572467,633.4568608071224,11.95996078431372,39.0,2.0,37.0,2.0,0.0,48.0,0.0,4.0,1.0
1688572468,633.4437252148279,11.959805,39.0,2.0,38.0,0.0,0.0,62.0,1.0,4.0,1.0
1688572469,629.3490173821987,11.960678571428572,39.0,2.0,36.5,0.0,1.0,50.5,0.5,4.0,1.0
1688572470,633.8994213268832,11.960389999999997,39.0,2.0,35.0,0.0,2.0,39.0,0.0,5.0,1.0
1688572471,641.134711638439,11.959700980392158,39.0,2.0,35.0,2.0,1.0,51.0,1.0,5.0,1.0
1688572472,649.1329863354264,11.959505102040817,39.0,2.0,36.0,2.0,0.0,40.0,1.0,5.0,1.0
1688572473,634.3254663770787,11.960969999999998,39.0,2.0,37.0,1.0,0.0,48.0,1.5,5.0,1.0
1688572474,632.0444590920487,11.960117346938778,39.0,2.0,38.0,0.0,0.0,56.0,2.0,5.0,1.0
1688572475,627.8361582238408,11.959820000000002,39.0,2.0,35.0,0.0,0.0,58.0,0.0,5.0,1.0
1688572476,642.8460395396352,11.960465,39.0,2.0,35.0,2.0,1.0,56.0,0.0,6.0,1.0
1688572477,639.3682585913122,11.960406862745096,39.5,2.0,35.0,2.0,0.5,51.0,0.0,6.0,1.0
1688572478,635.7990351124862,11.960030612244896,40.0,2.0,35.0,2.0,0.0,46.0,0.0,6.0,1.0
1688572479,636.4027283924815,11.960475,39.0,2.0,37.0,2.0,0.0,50.0,3.0,6.0,1.0
1688572480,632.1370629253429,11.960119999999996,39.0,2.0,35.0,0.0,0.0,62.0,1.0,6.0,1.0
1688572481,632.137021576915,11.960668367346942,39.0,2.0,34.0,0.0,1.0,41.0,1.0,7.0,1.0
1688572482,641.0035499335129,11.960421568627453,39.0,2.0,34.5,1.0,0.5,49.0,0.5,7.0,1.0
1688572483,635.9184060826033,11.95933,39.0,2.0,35.0,2.0,0.0,57.0,0.0,7.0,1.0
1688572484,643.196432839304,11.960198979591835,40.0,2.0,36.0,2.0,0.0,43.0,0.0,7.0,1.0
1688572485,630.7205242785404,11.960509803921571,40.0,2.0,36.0,0.0,0.0,59.0,0.0,7.0,1.0
1688572486,630.0683207630583,11.960195,40.0,2.0,35.5,0.0,1.0,45.0,1.0,7.0,1.0
1688572487,641.3557182561194,11.95985714285714,40.0,2.0,35.0,0.0,2.0,31.0,2.0,8.0,1.0
1688572488,643.3253127161797,11.960039999999998,40.0,2.0,35.0,2.0,1.0,56.0,0.0,8.0,1.0
1688572489,632.3296684375997,11.960438775510209,40.0,2.0,35.0,2.0,0.0,51.0,2.0,8.0,1.0
1688572490,636.5541394303127,11.95987254901961,40.0,2.0,38.0,2.0,0.0,59.0,2.0,8.0,1.0
1688572491,629.8405753246335,11.959735,40.0,2.0,36.5,1.0,0.5,50.5,1.0,8.0,1.0
1688572492,632.8921335109285,11.959335,40.0,2.0,35.0,0.0,1.0,42.0,0.0,8.0,1.0
1688572493,641.6708456459992,11.960311224489796,40.0,2.0,35.0,0.0,1.0,46.0,0.0,9.0,1.0
1688572494,639.8943956957809,11.959745098039216,40.0,2.0,36.0,2.0,0.0,44.0,0.0,9.0,1.0
1688572495,643.1030651791374,11.95938,40.0,2.0,37.0,2.0,0.0,47.5,1.5,9.0,1.0
1688572496,632.8712826425042,11.96044387755102,40.0,2.0,38.0,2.0,0.0,51.0,3.0,9.0,1.0
1688572497,628.9755419478571,11.960095,40.0,2.0,35.0,1.0,0.0,62.0,1.0,9.0,1.0
1688572498,641.9852035153992,11.959764705882352,40.0,2.0,35.0,1.0,0.5,59.0,0.5,10.0,1.0
1688572499,643.4971004422316,11.960775510204082,40.0,2.0,35.0,1.0,1.0,56.0,0.0,10.0,1.0
1688572500,633.6310794609088,11.959945,40.0,2.0,36.0,1.0,0.0,49.0,0.0,10.0,1.0
1688572501,635.3594752372788,11.959744999999998,40.0,2.0,38.0,1.0,0.0,50.0,1.0,10.0,1.0
1688572502,630.8346696769954,11.959445,40.0,2.0,35.0,1.0,2.0,46.0,0.0,10.0,1.0
1688572503,631.9047089284204,11.96033163265306,40.0,2.0,35.0,1.5,1.5,44.5,0.5,10.0,1.0
1688572504,644.2328540358242,11.960151960784316,40.0,2.0,35.0,2.0,1.0,43.0,1.0,11.0,1.0
1688572505,638.3817861627017,11.960117346938771,40.0,2.0,35.0,2.0,0.0,60.0,0.0,11.0,1.0
1688572506,640.7342035617867,11.96018,40.0,2.0,37.0,2.0,0.0,55.0,1.0,11.0,1.0
1688572507,633.8335477538295,11.960098039215683,40.0,2.0,36.0,1.0,0.0,56.5,1.5,11.0,1.0
1688572508,629.7944632953098,11.960224489795918,40.0,2.0,35.0,0.0,0.0,58.0,2.0,11.0,1.0
1688572509,640.6344433039785,11.959765000000004,40.0,2.0,35.0,2.0,1.0,36.0,0.0,12.0,1.0
1688572510,643.2946062087296,11.959840000000002,40.0,2.0,35.0,2.0,1.0,52.0,0.0,12.0,1.0
1688572511,636.0626579841286,11.96033673469388,40.0,2.0,36.0,2.0,0.5,49.5,1.0,12.0,1.0
1688572512,635.2018485395392,11.960005000000002,40.0,2.0,37.0,2.0,0.0,47.0,2.0,12.0,1.0
1688572513,632.2471770225508,11.959617647058831,40.0,2.0,35.0,0.0,0.0,58.0,0.0,12.0,1.0
1688572514,633.6940579101628,11.960185,40.0,2.0,35.0,0.0,3.0,45.0,0.0,12.0,1.0
