TIME,Main(mA),Main Voltage(V),TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1688625242,669.4960777,11.96226667,34,4,32,0,0,29,0,1,1
1688625243,667.0308582,11.9615,34,4,32,0,0,30,0,1,1
1688625244,668.5547845,11.96160784,34,4,32,0,0,31,0,1,1
1688625245,662.7799643,11.96231122,34,4,33,0,0,12,0,1,1
1688625246,671.666529,11.96163,34,4,33,0,0,14,0,1,1
1688625247,665.661429,11.96253061,34,4,34,0,0,37,0,1,1
1688625248,672.7754406,11.96234,34,4,35,0,0,8,1,1,1
1688625249,668.2625211,11.961195,34,4,35.5,0,0,18.5,0.5,1,1
1688625250,676.8191552,11.96244,34,4,36,0,0,29,0,1,1
1688625251,674.2215312,11.961605,35,4,38,0,0,12,3,1,1
1688625252,669.3016312,11.96207,34,4,35,0,0,46,3,1,1
1688625253,673.3799473,11.9612551,34,4,35,0,0,48,1,2,1
1688625254,678.7405738,11.961525,35,4,39,1,0,38,0,2,1
1688625255,667.4268075,11.96123529,35,4,35,1,1,50,0,2,1
1688625256,675.4480928,11.96131122,35,4,35.5,1,0.5,43.5,0,3,1
1688625257,686.4359067,11.960955,35,4,36,1,0,37,0,3,1
1688625258,669.9662607,11.961745,35,4,35,1,0,54,3,3,1
1688625259,672.4134685,11.96118137,35,4,35,1,0,34,1,4,1
1688625260,686.2152253,11.96187755,35,4,38,1,0,40,0,4,1
1688625261,667.8838148,11.961045,35,4,35,1,1,51,4,4,1
1688625262,678.6790202,11.960945,35,4,36,1,0,34,0,5,1
1688625263,678.9442203,11.96171429,35,4,36,1,0,43.5,2,5,1
1688625264,673.8218477,11.96113725,35,4,36,1,0,53,4,5,1
1688625265,669.4447684,11.96133,35,4,35,1,0,36,1,6,1
1688625266,681.8555805,11.96209694,35,4,37,1,0,47,0,6,1
1688625267,672.430166,11.96216,35,4,35,1,1,49,3,6,1
1688625268,673.7801677,11.96166176,35,4,35,1,0,35,1,7,1
1688625269,678.0263122,11.96159694,35,4,39,1,0,51,3,7,1
1688625270,676.1677657,11.961635,35,4,35,1,1,35,3,7,1
1688625271,668.7036008,11.96163,35.5,4,35.5,1,0.5,42.5,1.5,8,1
1688625272,686.3803572,11.96242857,36,4,36,1,0,50,0,8,1
1688625273,674.8890081,11.96111765,35,4,36,1,0,40,0,8,1
1688625274,672.0925347,11.96194388,35,4,35,1,0,49,1,9,1
1688625275,677.4926256,11.96159,36,4,37,1,0,53,2,9,1
1688625276,682.0635612,11.9623,35,4,35,1,1,37,0,9,1
1688625277,662.4665871,11.96207653,36,4,35,1,0,46,0,10,1
1688625278,686.029325,11.96186765,36,4,37,1,0,44,1.5,10,1
1688625279,665.9695026,11.96185,36,4,39,1,0,42,3,10,1
1688625280,669.3888156,11.96160204,36,4,35,1,0,48,1,11,1
1688625281,682.3634376,11.9613,36,4,37,1,0,51,1,11,1
1688625282,684.1926879,11.9604902,36,4,35,1,0,38,2,11,1
1688625283,659.7487805,11.96129592,36,4,35,1,0,41,1,12,1
1688625284,687.0959563,11.96174,36,4,35,1,0,44,0,12,1
1688625285,672.5836769,11.96153571,36,4,39,1,0,43,4,12,1
1688625286,671.685573,11.960945,36,4,35,0,1,46,1,13,1
1688625287,682.2044587,11.96045098,36,4,36,0,0,39,0,13,1
1688625288,689.6142836,11.96169388,36,4,35,0,1,40,3,13,1
1688625289,659.6395719,11.961675,36,4,35,1,0,43,1,14,1
1688625290,688.0924891,11.96136765,36,4,36.5,1,0,44,2,14,1
1688625291,688.661647,11.962035,36,4,38,1,0,45,3,14,1
1688625292,669.7604722,11.96148469,36,4,35,1,0,46,0,15,1
1688625293,674.1285823,11.961825,36,4,36,1,1,41,0,15,1
1688625294,684.4844437,11.96130392,36,4,36,1,0,45,1,15,1
1688625295,661.784748,11.96193878,36,4,35,1,2,41,1,16,1
1688625296,685.3439456,11.961675,36,4,36,1,1,43,1,16,1
1688625297,676.8121653,11.961615,36,4,37,1,0,45,1,16,1
1688625298,671.9236824,11.96129592,36,4,35,1,0,45,0,17,1
1688625299,673.856432,11.96151961,36,4,35,1,1,40,0,17,1
1688625300,687.6159958,11.961975,36,4,39,1,0,45,3,17,1
1688625301,667.8060832,11.96138776,36,4,35,1,1,41,1,18,1
1688625302,681.9675946,11.96229412,36,4,36,1,0.5,43,0.5,18,1
1688625303,675.2854432,11.96120408,36,4,37,1,0,45,0,18,1
1688625304,674.1493144,11.961175,37,4,36,1,0,44,3,19,1
1688625305,671.6738467,11.961465,37,4,35,1,0,43,0,19,1
1688625306,682.1994589,11.96234694,37,4,39,1,0,44,4,19,1
1688625307,665.864024,11.9617451,37,4,35,1,0,46,1,20,1
1688625308,680.7893809,11.961755,37,4,36,1,0,47,0,20,1
1688625309,683.7352651,11.96127,37,4,36,1,0,43,1.5,20,1
1688625310,675.3340261,11.96126531,37,4,36,1,0,39,3,20,1
1688625311,678.8261089,11.96176,37,4,35,1,1,47,1,21,1
1688625312,697.3491814,11.96014216,37,4,37,1,0,44,3,21,1
1688625313,667.5097541,11.9622602,37,4,36,1,0,47,3,21,1
1688625314,676.6282608,11.961715,37,4,36,1,1,38,0,22,1
1688625315,689.421513,11.96090196,37,4,38,1,0,39,0,22,1
1688625316,677.0998307,11.961125,37,4,36.5,1,0.5,42.5,1,22,1
1688625317,670.5729328,11.96190196,37,4,35,1,1,46,2,23,1
1688625318,681.6874102,11.961705,37,4,36,1,0,38,1,23,1
1688625319,665.4420697,11.962235,37,4,36,1,0,51,0,23,1
1688625320,674.8342068,11.96207653,37,4,35,1,1,37,0,24,1
1688625321,681.4996981,11.96211765,37,4,39,1,0,40,2,24,1
1688625322,671.7059936,11.962115,37,4,37,1,0,44,1.5,24,1
1688625323,668.1728349,11.9614898,37,4,35,1,0,48,1,25,1
1688625324,689.2466327,11.962445,37,4,37,1,0,36,0,25,1
1688625325,673.2466965,11.96161735,37,4,38,1,0,53,4,25,1
1688625326,676.2028232,11.96098529,37,4,35,1,0,39,1,26,1
1688625327,679.853804,11.961785,37,4,36,1,0,49,2,26,1
1688625328,681.016093,11.96165306,37,4,36,1,0,39,0,26,1
1688625329,663.5871816,11.96187255,37,4,35,1,1,49,0,27,1
1688625330,687.0682326,11.96119,37,4,37,1,0.5,50,1,27,1
1688625331,678.9354312,11.9612602,37,4,39,1,0,51,2,27,1
1688625332,667.2983667,11.96162,37,4,36,1,1,36,2,28,1
1688625333,681.02433,11.96255392,37,4,36,1,0,51,2,28,1
1688625334,685.5789052,11.96179082,37,4,36,1,0,38,1,28,1
1688625335,661.7545327,11.961955,37,4,35,1,1,50,0,29,1
1688625336,688.7759915,11.96188,37,4,37,1,0,53,3,29,1
1688625337,688.5523371,11.961795,37,4,36.5,1,0.5,43,2.5,29,1
1688625338,671.6883589,11.9612398,37,4,36,1,1,33,2,30,1
1688625339,681.1258984,11.96127941,37,4,36,1,0,51,0,30,1
1688625340,693.8302962,11.960365,37,4,36,1,0,38,3,30,1
1688625341,671.7055771,11.96145918,37,4,35,1,1,51,0,31,1
1688625342,682.7736101,11.961135,38,4,37,1,0,37,5,31,1
1688625343,674.6766004,11.96213235,37,4,36,1,0,34,5,31,1
1688625344,671.9608258,11.961805,37,4,36,1,0,41.5,3,32,1
1688625345,681.0860289,11.96121429,37,4,36,1,0,49,1,32,1
1688625346,686.0127116,11.96213,38,4,38,1,0,37,0,32,1
1688625347,668.5339944,11.961715,37,4,36,1,1,53,3,33,1
1688625348,680.7627756,11.96212245,38,4,37,1,0,31,3,33,1
1688625349,677.7303772,11.96203431,38,4,36,1,0,35,3,33,1
1688625350,672.2377061,11.961235,38,4,35.5,1,1,43,2,33,1
1688625351,678.9467232,11.96161735,38,4,35,1,2,51,1,34,1
1688625352,688.3078967,11.961055,38,4,37,1,0,36,0,34,1
1688625353,669.0020908,11.96194118,38,4,36,1,0,55,2,34,1
1688625354,680.1141302,11.9609898,38,4,36,1,0,32,1,35,1
1688625355,682.6401016,11.962015,38,4,39,1,0,54,1,35,1
1688625356,678.2398059,11.96041,38,4,35,1,2,50,0,35,1
1688625357,672.3238567,11.96165816,38,4,35.5,1,1,43,0,36,1
1688625358,686.2193465,11.96214706,38,4,36,1,0,36,0,36,1
1688625359,675.2894384,11.961725,38,4,36,1,0,52,5,36,1
1688625360,678.3555955,11.96169898,38,4,36,1,1,31,0,37,1
1688625361,687.2573229,11.96126,38,4,39,1,0,53,3,37,1
1688625362,674.3355057,11.962,38,4,37,1,0.5,51,1.5,37,1
1688625363,671.2517951,11.96119388,38,4,35,1,1,49,0,38,1
1688625364,685.1662113,11.961985,38,4,37,1,0,35,3,38,1
1688625365,688.2250231,11.96038265,38,4,36,1,0,53,0,38,1
1688625366,676.4156246,11.96095588,38,4,36,1,1,32,0,39,1
1688625367,680.2485016,11.96221,38,4,39,1,0,52,3,39,1
1688625368,678.3842823,11.96240306,38,4,37.5,1,0.5,51,2,39,1
1688625369,668.8452064,11.961545,38,4,36,1,1,50,1,40,1
1688625370,687.0430373,11.96128922,38,4,37,1,0,32,2,40,1
1688625371,674.2378759,11.96215306,38,4,36,1,0,54,0,40,1
1688625372,671.4774836,11.961435,38,4,36,1,1,37,0,41,1
1688625373,686.2564217,11.96141327,38,4,38,1,0,47,3,41,1
1688625374,678.2759845,11.962105,38.5,4,37,1,0,48.5,2,41,1
1688625375,665.4489166,11.96091667,39,4,36,1,0,50,1,42,1
