TIME,Main(mA),Main Voltage(V),FREQUENCY(48),VOLT,TEMP,INDEX,SUCCESS
1689522105,-1.0,-1.0,1800457088.0,0.936,42.8,-1.0,-1.0
1689522106,-1.0,-1.0,1800457088.0,0.936,42.8,-1.0,-1.0
1689522107,-1.0,-1.0,1800404352.0,0.936,43.8,-1.0,-1.0
1689522108,-1.0,-1.0,1100249984.0,0.87,41.8,-1.0,-1.0
1689522109,-1.0,-1.0,1800457088.0,0.936,43.3,-1.0,-1.0
1689522110,-1.0,-1.0,1800404352.0,0.936,41.8,-1.0,-1.0
1689522111,-1.0,-1.0,1800457088.0,0.936,40.4,-1.0,-1.0
1689522112,-1.0,-1.0,1800457088.0,0.936,40.9,-1.0,-1.0
1689522113,-1.0,-1.0,1000212864.0,0.87,40.4,-1.0,-1.0
1689522114,-1.0,-1.0,1800457088.0,0.936,40.9,-1.0,-1.0
1689522115,-1.0,-1.0,1800457088.0,0.936,40.9,-1.0,-1.0
1689522116,-1.0,-1.0,1800457088.0,0.936,40.9,-1.0,-1.0
1689522117,-1.0,-1.0,1800457088.0,0.936,39.9,-1.0,-1.0
1689522118,-1.0,-1.0,1800457088.0,0.936,39.4,-1.0,-1.0
1689522119,-1.0,-1.0,1800404352.0,0.936,39.9,-1.0,-1.0
1689522120,-1.0,-1.0,1800457088.0,0.936,39.4,-1.0,-1.0
1689522121,-1.0,-1.0,1800457088.0,0.936,38.9,-1.0,-1.0
1689522122,-1.0,-1.0,1800404352.0,0.936,38.9,-1.0,-1.0
1689522123,-1.0,-1.0,1800457088.0,0.936,40.4,-1.0,-1.0
1689522124,-1.0,-1.0,1800457088.0,0.936,39.4,-1.0,-1.0
1689522125,-1.0,-1.0,600169920.0,0.87,40.4,-1.0,-1.0
1689522126,-1.0,-1.0,1800457088.0,0.936,40.4,-1.0,-1.0
1689522127,-1.0,-1.0,1800457088.0,0.936,39.4,-1.0,-1.0
1689522128,-1.0,-1.0,1800457088.0,0.936,40.4,-1.0,-1.0
1689522129,-1.0,-1.0,1800457088.0,0.936,39.9,-1.0,-1.0
1689522130,-1.0,-1.0,1800457088.0,0.936,39.4,-1.0,-1.0
1689522131,-1.0,-1.0,600169920.0,0.87,39.4,-1.0,-1.0
1689522132,-1.0,-1.0,1800457088.0,0.936,39.4,-1.0,-1.0
1689522133,-1.0,-1.0,1800457088.0,0.936,39.4,-1.0,-1.0
1689522134,-1.0,-1.0,1800457088.0,0.936,39.4,-1.0,-1.0
1689522135,-1.0,-1.0,1800404352.0,0.936,39.4,-1.0,-1.0
1689522136,-1.0,-1.0,1800404352.0,0.936,39.9,-1.0,-1.0
1689522137,-1.0,-1.0,600117184.0,0.87,39.4,-1.0,-1.0
1689522138,-1.0,-1.0,1800404352.0,0.936,39.9,-1.0,-1.0
1689522139,-1.0,-1.0,1800404352.0,0.936,39.9,-1.0,-1.0
1689522140,-1.0,-1.0,1800404352.0,0.936,38.9,-1.0,-1.0
1689522141,-1.0,-1.0,1800404352.0,0.936,39.4,-1.0,-1.0
1689522142,-1.0,-1.0,1800404352.0,0.936,42.3,-1.0,-1.0
1689522143,-1.0,-1.0,1800457088.0,0.936,42.3,-1.0,-1.0
1689522144,947.68002536081,5.483577777777777,1800457088.0,0.936,41.8,1.0,1.0
1689522145,989.4933580853576,5.483394999999999,1800457088.0,0.936,43.3,1.0,1.0
1689522146,973.4223981943912,5.484627450980392,1800457088.0,0.936,44.8,0.0,-1.0
1689522147,978.8941721479084,5.48473469387755,1800404352.0,0.936,46.7,2.0,1.0
1689522148,988.934223972259,5.482695000000002,1800404352.0,0.936,46.7,2.0,1.0
1689522149,991.6358375540174,5.4829550000000005,1800457088.0,0.936,47.2,3.0,1.0
1689522150,993.2324176159792,5.481854999999999,1800404352.0,0.936,47.7,3.0,1.0
1689522151,1010.7619718605118,5.482065000000001,1800457088.0,0.936,48.2,4.0,1.0
1689522152,954.9278030005864,5.484955000000001,1800457088.0,0.936,48.7,4.0,1.0
1689522153,998.9282077883232,5.482688775510204,1800457088.0,0.936,49.6,5.0,1.0
1689522154,971.4714157614676,5.481995098039217,1800457088.0,0.936,49.8,5.0,1.0
1689522155,996.3147084794024,5.484091836734693,1800457088.0,0.936,50.1,6.0,1.0
1689522156,992.8194075444424,5.483475000000001,1800457088.0,0.936,50.6,6.0,1.0
1689522157,973.0368351928416,5.48368,1800457088.0,0.936,50.1,7.0,1.0
1689522158,965.9582562597972,5.484030612244897,1800404352.0,0.936,50.1,7.0,1.0
1689522159,1042.5639182996183,5.482950980392157,1800457088.0,0.936,52.1,8.0,1.0
1689522160,1049.8479785474042,5.483939999999999,1800457088.0,0.936,50.6,8.0,1.0
1689522161,1038.642939362004,5.484505,1800404352.0,0.936,51.1,9.0,1.0
1689522162,1001.142483478687,5.481709183673471,1800404352.0,0.936,51.1,9.0,1.0
1689522163,984.8649389997076,5.484259803921567,1800457088.0,0.936,51.6,10.0,1.0
1689522164,1019.7035074291122,5.481340000000001,1800457088.0,0.936,51.6,10.0,1.0
1689522165,992.4932958486836,5.483158163265308,1800457088.0,0.936,51.6,11.0,1.0
1689522166,983.644656426654,5.48305,1800457088.0,0.936,50.6,11.0,1.0
1689522167,1017.2882871319536,5.482877450980391,1800457088.0,0.936,53.0,12.0,1.0
1689522168,1006.9460463923934,5.484204081632655,1800457088.0,0.936,52.1,12.0,1.0
1689522169,965.0955731867064,5.484165000000002,1800404352.0,0.936,52.1,13.0,1.0
1689522170,986.6729065618638,5.483760000000002,1800457088.0,0.936,52.1,13.0,1.0
1689522171,970.3880830222988,5.482709183673469,1800457088.0,0.936,52.1,14.0,1.0
1689522172,1016.0332011931235,5.481450980392157,1800457088.0,0.936,52.1,14.0,1.0
1689522173,983.4121025689147,5.482789999999999,1800457088.0,0.936,52.5,15.0,1.0
1689522174,994.7429023871769,5.48376530612245,1800457088.0,0.936,53.0,15.0,1.0
1689522175,1004.241577855729,5.481225490196078,1800457088.0,0.936,52.5,16.0,1.0
1689522176,1003.7052193310706,5.481880000000001,1800457088.0,0.936,52.5,16.0,1.0
1689522177,981.0380542055186,5.484010204081634,1800404352.0,0.936,54.0,0.0,-1.0
1689522178,1005.558675862691,5.481935000000001,1800457088.0,0.936,54.0,17.0,1.0
1689522179,978.939677646771,5.48311274509804,1800404352.0,0.936,54.0,17.0,1.0
1689522180,1000.6980244647416,5.482989795918368,1800457088.0,0.936,54.0,18.0,1.0
1689522181,980.6718896695186,5.482985000000001,1800457088.0,0.936,54.0,18.0,1.0
1689522182,1021.3084184300888,5.480882352941176,1800404352.0,0.936,53.0,19.0,1.0
1689522183,982.0135280967686,5.482647959183674,1800404352.0,0.936,54.0,19.0,1.0
1689522184,1003.5296176276393,5.483215,1800457088.0,0.936,53.5,20.0,1.0
1689522185,1000.8672576329554,5.483464285714288,1800457088.0,0.936,54.5,20.0,1.0
1689522186,1004.1216907333728,5.483338235294118,1800457088.0,0.936,54.5,21.0,1.0
1689522187,981.7670055241392,5.484300000000001,1800457088.0,0.936,54.5,21.0,1.0
1689522188,1016.378253631296,5.481653061224487,1800404352.0,0.936,53.5,22.0,1.0
1689522189,1013.4557852710916,5.482145000000002,1800457088.0,0.936,54.5,22.0,1.0
1689522190,977.2775486454016,5.484730392156862,1800404352.0,0.936,55.0,23.0,1.0
1689522191,1006.9404561674128,5.483081632653061,1800457088.0,0.936,56.0,23.0,1.0
1689522192,1000.2734507610965,5.48452,1800404352.0,0.936,55.0,24.0,1.0
1689522193,993.8413052820106,5.48282843137255,1800457088.0,0.936,54.5,24.0,1.0
1689522194,1003.3347312357928,5.483158163265306,1800457088.0,0.936,56.4,25.0,1.0
1689522195,1018.5878700045522,5.482510000000002,1800404352.0,0.936,55.0,25.0,1.0
1689522196,998.2724075721846,5.483415,1800457088.0,0.936,55.5,26.0,1.0
1689522197,999.1019859217928,5.483214285714286,1800457088.0,0.936,54.5,26.0,1.0
