TIME,Main(mA),Main Voltage(V),FREQUENCY(48),VOLT,TEMP,INDEX,SUCCESS
1689530052,-1.0,-1.0,1800404352.0,0.936,42.3,-1.0,-1.0
1689530053,-1.0,-1.0,1800457088.0,0.936,41.3,-1.0,-1.0
1689530054,-1.0,-1.0,1800457088.0,0.936,43.8,-1.0,-1.0
1689530055,-1.0,-1.0,1800457088.0,0.936,42.3,-1.0,-1.0
1689530056,-1.0,-1.0,1800457088.0,0.936,40.9,-1.0,-1.0
1689530057,-1.0,-1.0,1800457088.0,0.936,40.9,-1.0,-1.0
1689530058,-1.0,-1.0,1800457088.0,0.936,42.3,-1.0,-1.0
1689530059,-1.0,-1.0,1800457088.0,0.936,40.4,-1.0,-1.0
1689530060,-1.0,-1.0,1800457088.0,0.936,40.4,-1.0,-1.0
1689530061,-1.0,-1.0,1800404352.0,0.936,40.4,-1.0,-1.0
1689530062,-1.0,-1.0,1800457088.0,0.936,40.4,-1.0,-1.0
1689530063,-1.0,-1.0,1800457088.0,0.936,38.4,-1.0,-1.0
1689530064,-1.0,-1.0,1800404352.0,0.936,38.9,-1.0,-1.0
1689530065,-1.0,-1.0,1800457088.0,0.936,39.4,-1.0,-1.0
1689530066,-1.0,-1.0,600169920.0,0.87,38.9,-1.0,-1.0
1689530067,-1.0,-1.0,1800457088.0,0.936,38.4,-1.0,-1.0
1689530068,-1.0,-1.0,1800404352.0,0.936,38.9,-1.0,-1.0
1689530069,-1.0,-1.0,1800457088.0,0.936,38.9,-1.0,-1.0
1689530070,-1.0,-1.0,1800457088.0,0.936,37.9,-1.0,-1.0
1689530071,-1.0,-1.0,1800457088.0,0.936,38.4,-1.0,-1.0
1689530072,-1.0,-1.0,600117184.0,0.87,38.9,-1.0,-1.0
1689530073,-1.0,-1.0,1800457088.0,0.936,38.9,-1.0,-1.0
1689530074,-1.0,-1.0,1800404352.0,0.936,38.9,-1.0,-1.0
1689530075,-1.0,-1.0,1800457088.0,0.936,38.4,-1.0,-1.0
1689530076,-1.0,-1.0,1800457088.0,0.936,38.9,-1.0,-1.0
1689530077,-1.0,-1.0,1800457088.0,0.936,39.9,-1.0,-1.0
1689530078,-1.0,-1.0,1800404352.0,0.936,38.9,-1.0,-1.0
1689530079,-1.0,-1.0,1800457088.0,0.936,39.4,-1.0,-1.0
1689530080,-1.0,-1.0,1800457088.0,0.936,38.4,-1.0,-1.0
1689530081,-1.0,-1.0,1800457088.0,0.936,38.9,-1.0,-1.0
1689530082,-1.0,-1.0,1800404352.0,0.936,39.4,-1.0,-1.0
1689530083,-1.0,-1.0,1800457088.0,0.936,39.9,-1.0,-1.0
1689530084,-1.0,-1.0,1800457088.0,0.936,38.9,-1.0,-1.0
1689530085,-1.0,-1.0,1800457088.0,0.936,39.4,-1.0,-1.0
1689530086,-1.0,-1.0,1800404352.0,0.936,39.4,-1.0,-1.0
1689530087,-1.0,-1.0,1800457088.0,0.936,40.9,-1.0,-1.0
1689530088,-1.0,-1.0,600117184.0,0.87,39.4,-1.0,-1.0
1689530089,-1.0,-1.0,1800404352.0,0.936,38.4,-1.0,-1.0
1689530090,-1.0,-1.0,1800457088.0,0.936,39.9,-1.0,-1.0
1689530091,-1.0,-1.0,1800457088.0,0.936,39.4,-1.0,-1.0
1689530092,-1.0,-1.0,1800457088.0,0.936,39.4,-1.0,-1.0
1689530093,-1.0,-1.0,1800457088.0,0.936,39.9,-1.0,-1.0
1689530094,-1.0,-1.0,1800404352.0,0.936,40.4,-1.0,-1.0
1689530095,-1.0,-1.0,1800457088.0,0.936,42.3,-1.0,-1.0
1689530096,666.4354494110424,5.482333333333335,1800404352.0,0.936,41.8,-1.0,-1.0
1689530097,1007.9081377450278,5.483303921568628,1800457088.0,0.936,41.3,0.0,-1.0
1689530098,1029.8178073611823,5.48432,1800457088.0,0.936,42.8,1.0,1.0
1689530099,1039.0211757313537,5.482999999999998,1800457088.0,0.936,44.3,1.0,1.0
1689530100,1026.3336940065803,5.483490000000001,1800457088.0,0.936,44.8,1.0,1.0
1689530101,1035.629812810805,5.484441176470591,1800404352.0,0.936,46.7,1.0,1.0
1689530102,1070.482176959987,5.481229591836735,1800457088.0,0.936,47.2,1.0,1.0
1689530103,984.6119810819628,5.485685000000001,1800457088.0,0.936,47.7,1.0,1.0
1689530104,995.0418745792826,5.484346938775511,1800404352.0,0.936,48.7,1.0,1.0
1689530105,1013.0297278663749,5.484035,1800457088.0,0.936,48.7,1.0,1.0
1689530106,1072.989342201972,5.482882352941177,1800404352.0,0.936,49.1,1.0,1.0
1689530107,1059.1211450819908,5.485561224489795,1800457088.0,0.936,49.6,1.0,1.0
1689530108,1083.4689649227098,5.483670000000001,1800404352.0,0.936,50.1,1.0,1.0
1689530109,1064.6993162966555,5.481239999999998,1800457088.0,0.936,50.1,1.0,1.0
1689530110,1040.6889009571194,5.482490196078432,1800457088.0,0.936,50.6,1.0,1.0
1689530111,1021.6190411959424,5.484132653061223,1800457088.0,0.936,50.6,1.0,1.0
1689530112,1021.6841919342392,5.483615,1800457088.0,0.936,51.1,1.0,1.0
1689530113,1028.7071459000615,5.483418367346939,1800457088.0,0.936,51.1,1.0,1.0
1689530114,1016.391731929457,5.484955,1800404352.0,0.936,51.1,1.0,1.0
1689530115,1045.610687244042,5.484166666666665,1800457088.0,0.936,51.1,1.0,1.0
1689530116,1027.0341979704097,5.483649999999999,1800430720.0,0.936,50.8,1.0,1.0
1689530117,994.6753066768345,5.484938775510204,1800404352.0,0.936,50.6,1.0,1.0
1689530118,1030.783958086697,5.482255000000002,1800457088.0,0.936,50.6,1.0,1.0
1689530119,1030.7856369110636,5.483200980392158,1800404352.0,0.936,52.1,1.0,1.0
1689530120,1075.8242360911097,5.481693877551019,1800457088.0,0.936,52.1,1.0,1.0
1689530121,1044.996743050012,5.483265,1800457088.0,0.936,52.1,1.0,1.0
1689530122,1006.6669282657506,5.48741,1800457088.0,0.936,51.6,1.0,1.0
