TIME,Main(mA),Main Voltage(V),FREQUENCY(48),VOLT,TEMP,INDEX,SUCCESS
1689538005,-1.0,-1.0,1800457088.0,0.936,40.9,-1.0,-1.0
1689538006,-1.0,-1.0,1800457088.0,0.936,41.3,-1.0,-1.0
1689538007,-1.0,-1.0,1800457088.0,0.936,41.8,-1.0,-1.0
1689538008,-1.0,-1.0,1800404352.0,0.936,41.3,-1.0,-1.0
1689538009,-1.0,-1.0,1800457088.0,0.936,39.4,-1.0,-1.0
1689538010,-1.0,-1.0,1800457088.0,0.936,41.3,-1.0,-1.0
1689538011,-1.0,-1.0,1800404352.0,0.936,41.3,-1.0,-1.0
1689538012,-1.0,-1.0,1800404352.0,0.936,39.4,-1.0,-1.0
1689538013,-1.0,-1.0,1800457088.0,0.936,40.4,-1.0,-1.0
1689538014,-1.0,-1.0,1800404352.0,0.936,39.9,-1.0,-1.0
1689538015,-1.0,-1.0,1800457088.0,0.936,39.9,-1.0,-1.0
1689538016,-1.0,-1.0,1800457088.0,0.936,38.4,-1.0,-1.0
1689538017,-1.0,-1.0,1800457088.0,0.936,38.9,-1.0,-1.0
1689538018,-1.0,-1.0,1800457088.0,0.936,38.4,-1.0,-1.0
1689538019,-1.0,-1.0,600117184.0,0.87,38.4,-1.0,-1.0
1689538020,-1.0,-1.0,1800457088.0,0.936,38.4,-1.0,-1.0
1689538021,-1.0,-1.0,1800457088.0,0.936,37.9,-1.0,-1.0
1689538022,-1.0,-1.0,1800457088.0,0.936,37.9,-1.0,-1.0
1689538023,-1.0,-1.0,1800457088.0,0.936,38.9,-1.0,-1.0
1689538024,-1.0,-1.0,1800457088.0,0.936,37.9,-1.0,-1.0
1689538025,-1.0,-1.0,600117184.0,0.87,38.9,-1.0,-1.0
1689538026,-1.0,-1.0,1800457088.0,0.936,38.9,-1.0,-1.0
1689538027,-1.0,-1.0,1800404352.0,0.936,37.4,-1.0,-1.0
1689538028,-1.0,-1.0,1800404352.0,0.936,37.9,-1.0,-1.0
1689538029,-1.0,-1.0,1800457088.0,0.936,38.4,-1.0,-1.0
1689538030,-1.0,-1.0,1800457088.0,0.936,38.4,-1.0,-1.0
1689538031,-1.0,-1.0,600169920.0,0.87,38.4,-1.0,-1.0
1689538032,-1.0,-1.0,1800457088.0,0.936,39.4,-1.0,-1.0
1689538033,-1.0,-1.0,1800457088.0,0.936,39.4,-1.0,-1.0
1689538034,-1.0,-1.0,1800457088.0,0.936,39.4,-1.0,-1.0
1689538035,-1.0,-1.0,1800404352.0,0.936,38.9,-1.0,-1.0
1689538036,-1.0,-1.0,700207040.0,0.87,39.4,-1.0,-1.0
1689538037,-1.0,-1.0,1100249984.0,0.87,39.4,-1.0,-1.0
1689538038,-1.0,-1.0,1800404352.0,0.936,38.9,-1.0,-1.0
1689538039,-1.0,-1.0,1800404352.0,0.936,39.9,-1.0,-1.0
1689538040,-1.0,-1.0,1800404352.0,0.936,39.9,-1.0,-1.0
1689538041,-1.0,-1.0,1800404352.0,0.936,37.9,-1.0,-1.0
1689538042,-1.0,-1.0,700207040.0,0.87,38.9,-1.0,-1.0
1689538043,-1.0,-1.0,1800457088.0,0.936,39.9,-1.0,-1.0
1689538044,-1.0,-1.0,1800404352.0,0.936,39.4,-1.0,-1.0
1689538045,-1.0,-1.0,1800404352.0,0.936,38.4,-1.0,-1.0
1689538046,-1.0,-1.0,1800430720.0,0.936,39.2,-1.0,-1.0
1689538047,-1.0,-1.0,1800457088.0,0.936,39.9,-1.0,-1.0
1689538048,-1.0,-1.0,1800404352.0,0.936,39.4,-1.0,-1.0
1689538049,882.0381447440376,5.482888888888889,1800457088.0,0.936,41.8,0.0,-1.0
1689538050,982.9789831943614,5.48294,1800404352.0,0.936,40.4,1.0,1.0
1689538051,981.3189369154128,5.483539215686275,1800404352.0,0.936,41.8,1.0,1.0
1689538052,1013.9083340203016,5.482418367346938,1800457088.0,0.936,44.3,1.0,1.0
1689538053,1001.1999291670664,5.482739999999999,1800457088.0,0.936,44.8,1.0,1.0
1689538054,1022.7993279394818,5.482759803921568,1800404352.0,0.936,46.2,1.0,1.0
1689538055,986.369227613536,5.483663265306124,1800457088.0,0.936,46.2,1.0,1.0
1689538056,994.455579854572,5.484959999999998,1800457088.0,0.936,47.2,1.0,1.0
1689538057,1003.7141766710988,5.482117647058824,1800457088.0,0.936,47.7,1.0,1.0
1689538058,964.8427267453648,5.484545918367347,1800457088.0,0.936,46.7,1.0,1.0
1689538059,1043.4627540636184,5.483855000000001,1800404352.0,0.936,48.2,1.0,1.0
1689538060,1044.1449044917713,5.483346938775512,1800457088.0,0.936,48.2,1.0,1.0
1689538061,1018.1338350684518,5.486130000000002,1800457088.0,0.936,47.2,1.0,1.0
1689538062,1003.6294486511632,5.483194999999999,1800404352.0,0.936,48.2,1.0,1.0
1689538063,1000.057627359742,5.482895,1800404352.0,0.936,49.1,1.0,1.0
1689538064,992.5998076629786,5.483149999999999,1800404352.0,0.936,49.1,1.0,1.0
1689538065,998.2676529027436,5.482637755102042,1800457088.0,0.936,49.6,1.0,1.0
1689538066,982.1292784149728,5.482867647058823,1800404352.0,0.936,50.1,1.0,1.0
1689538067,1002.4480288669392,5.48278,1800457088.0,0.936,49.1,1.0,1.0
1689538068,966.3502164631686,5.485475,1800457088.0,0.936,49.1,1.0,1.0
1689538069,904.753716591846,5.483469387755102,1800457088.0,0.936,49.1,1.0,1.0
1689538070,986.193702852234,5.483813725490197,1800457088.0,0.936,50.6,2.0,1.0
1689538071,997.172521002572,5.483975,1800457088.0,0.936,49.1,2.0,1.0
1689538072,1004.3710496406568,5.483397959183673,1800457088.0,0.936,50.1,2.0,1.0
1689538073,989.4060070139208,5.48455,1800457088.0,0.936,48.7,2.0,1.0
1689538074,997.5176540514268,5.483911764705883,1800457088.0,0.936,48.7,2.0,1.0
1689538075,993.9098311418894,5.483688775510204,1800457088.0,0.936,50.6,2.0,1.0
1689538076,1001.3504896740016,5.48323,1800457088.0,0.936,50.1,2.0,1.0
1689538077,981.5422537256604,5.485320000000001,1800457088.0,0.936,51.1,2.0,1.0
1689538078,980.0763787850492,5.484173469387756,1800404352.0,0.936,52.1,2.0,1.0
1689538079,982.9849068132644,5.4834313725490205,1800457088.0,0.936,50.1,2.0,1.0
1689538080,997.6377098163164,5.482510000000001,1800404352.0,0.936,50.1,2.0,1.0
1689538081,978.5570581727244,5.484112244897959,1800404352.0,0.936,51.6,2.0,1.0
1689538082,990.7210124368638,5.4836800000000006,1800404352.0,0.936,51.1,2.0,1.0
1689538083,995.3428916581228,5.484073529411766,1800457088.0,0.936,51.6,2.0,1.0
1689538084,987.808090849603,5.48306,1800404352.0,0.936,52.1,2.0,1.0
1689538085,991.104935156586,5.4840561224489806,1800457088.0,0.936,50.6,2.0,1.0
1689538086,1008.7402294171052,5.482704999999998,1800457088.0,0.936,51.6,2.0,1.0
1689538087,988.3850921977928,5.483607843137257,1800457088.0,0.936,51.1,2.0,1.0
1689538088,1017.816901595408,5.482668367346939,1800404352.0,0.936,50.6,2.0,1.0
1689538089,1003.314937495931,5.483649999999999,1800457088.0,0.936,52.1,2.0,1.0
1689538090,967.8907185733276,5.4834450000000015,1800457088.0,0.936,51.8,2.0,1.0
1689538091,1001.1437804824948,5.482479591836735,1800457088.0,0.936,51.6,3.0,1.0
1689538092,1040.539400307633,5.482637254901962,1800404352.0,0.936,51.1,3.0,1.0
1689538093,1011.9380257365945,5.482790000000001,1800404352.0,0.936,52.1,3.0,1.0
1689538094,978.9723964313516,5.484612244897961,1800404352.0,0.936,52.1,3.0,1.0
1689538095,1003.89551208022,5.4831029411764725,1800457088.0,0.936,52.1,3.0,1.0
1689538096,1006.8176498976652,5.481840000000002,1800457088.0,0.936,52.5,3.0,1.0
1689538097,1012.2148240733816,5.48341836734694,1800457088.0,0.936,52.1,3.0,1.0
1689538098,1048.561474901086,5.481205882352942,1800457088.0,0.936,52.1,3.0,1.0
1689538099,990.105820896285,5.483445,1800457088.0,0.936,52.1,3.0,1.0
1689538100,1007.2182900512646,5.482755102040817,1800404352.0,0.936,51.6,3.0,1.0
1689538101,1022.9449297630972,5.481310000000002,1800457088.0,0.936,52.5,3.0,1.0
1689538102,1044.2919427102136,5.482520408163266,1800457088.0,0.936,53.0,3.0,1.0
1689538103,1066.0116672805168,5.484093137254901,1800457088.0,0.936,52.5,3.0,1.0
1689538104,1074.3742129546747,5.4823200000000005,1800404352.0,0.936,53.0,3.0,1.0
1689538105,997.0519939696773,5.483916666666666,1800457088.0,0.936,52.5,3.0,1.0
1689538106,1022.8510218562876,5.482668367346938,1800457088.0,0.936,52.5,3.0,1.0
