TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1683377390,1217.0,15493.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-240.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,16.0,12.8,31.0,0.0,0.0,27.0,0.0,-1.0,-1.0
1683377391,1225.0,15497.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-240.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,16.0,12.8,31.0,0.0,0.0,14.0,0.0,-1.0,-1.0
1683377392,1234.0,15497.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-240.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,14.0,0.0,-1.0,-1.0
1683377393,1225.0,15493.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-240.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,22.0,0.0,-1.0,-1.0
1683377394,1225.0,15497.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-240.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,16.0,12.8,31.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1683377395,1197.0,15497.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-240.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,16.0,12.8,31.0,0.0,0.0,15.5,0.0,-1.0,-1.0
1683377396,1228.0,15497.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-240.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,16.0,12.8,31.0,0.0,0.0,23.0,0.0,-1.0,-1.0
1683377397,1234.0,15497.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-240.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,16.0,12.8,31.0,0.0,0.0,9.0,0.0,-1.0,-1.0
1683377398,1197.0,15497.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-240.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,16.0,12.8,31.0,0.0,0.0,13.0,0.0,-1.0,-1.0
1683377399,1900.0,15483.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-240.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,16.0,12.8,31.0,0.0,0.0,15.0,0.0,-1.0,-1.0
1683377400,1217.0,15493.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-240.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,16.0,12.8,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1683377401,1200.0,15497.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-240.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,11.0,0.0,-1.0,-1.0
1683377402,1225.0,15493.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-240.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,16.5,0.0,-1.0,-1.0
1683377403,1644.0,15483.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-240.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,22.0,0.0,-1.0,-1.0
1683377404,1206.0,15493.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-240.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,7.0,0.0,-1.0,-1.0
1683377405,1886.0,15459.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-240.0,3300.0,120.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,23.0,0.0,-1.0,-1.0
1683377406,1228.0,15493.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-250.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,20.0,0.0,-1.0,-1.0
1683377407,1225.0,15493.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-250.0,3300.0,140.0,0.0,0.0,0.0,0.0,680.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,16.0,0.0,-1.0,-1.0
1683377408,1208.0,15493.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-250.0,3300.0,140.0,0.0,0.0,0.0,0.0,680.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,13.0,0.0,-1.0,-1.0
1683377409,1214.0,15493.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-250.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,21.0,0.0,-1.0,-1.0
1683377410,1200.0,15493.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-240.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,15.0,0.0,-1.0,-1.0
1683377411,1206.0,15493.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-240.0,3300.0,140.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,9.0,0.0,-1.0,-1.0
1683377412,1208.0,15493.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-240.0,3300.0,140.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,24.0,0.0,-1.0,-1.0
1683377413,1847.0,15459.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,-250.0,15400.0,-240.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,17.0,12.8,31.0,0.0,0.0,8.0,0.0,-1.0,-1.0
