TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS,dog_1_top1_index,dog_1_top1_value,dog_1_top2_index,dog_1_top2_value,dog_1_top3_index,dog_1_top3_value,dog_1_top4_index,dog_1_top4_value,dog_1_top5_index,dog_1_top5_value,dog_2_top1_index,dog_2_top1_value,dog_2_top2_index,dog_2_top2_value,dog_2_top3_index,dog_2_top3_value,dog_2_top4_index,dog_2_top4_value,dog_2_top5_index,dog_2_top5_value
1682785357,1422.0,16238.0,15400.0,150.0,1580.0,15000.0,1950.0,1060.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,10.0,4.0,31.0,0.0,0.0,39.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1682785358,1425.0,16238.0,15400.0,170.0,1590.0,15000.0,1950.0,1060.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,10.5,4.0,31.0,0.0,0.0,23.5,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1682785359,1405.0,16238.0,15400.0,170.0,1590.0,15000.0,1950.0,1060.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,8.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1682785360,1428.0,16238.0,15400.0,170.0,1590.0,15000.0,1950.0,1060.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,10.0,4.0,31.0,0.0,0.0,30.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1682785361,1414.0,16243.0,15200.0,180.0,1590.0,15000.0,1950.0,1060.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,6.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1682785362,1416.0,16238.0,15200.0,180.0,1590.0,15000.0,1950.0,1060.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,8.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1682785363,1411.0,16238.0,15200.0,180.0,1590.0,15000.0,1950.0,1060.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,27.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1682785364,1445.0,16243.0,15400.0,160.0,1580.0,15000.0,1950.0,1060.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,18.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1682785365,1402.0,16243.0,15400.0,160.0,1580.0,15000.0,2000.0,1070.0,16000.0,-130.0,16000.0,-130.0,3300.0,1300.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,9.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1682785366,1411.0,16243.0,15400.0,160.0,1580.0,15000.0,2000.0,1070.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,29.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
