TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1682819541,1425.0,16196.0,14400.0,340.0,1670.0,13800.0,2050.0,1020.0,16000.0,-140.0,16000.0,-140.0,3300.0,140.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,10.0,4.0,31.0,0.0,0.0,16.0,0.0,-1.0,-1.0
1682819542,1414.0,16201.0,14400.0,340.0,1670.0,13800.0,2010.0,1010.0,16000.0,-140.0,16000.0,-140.0,3300.0,140.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,10.0,4.0,31.0,0.0,0.0,30.0,0.0,-1.0,-1.0
1682819543,1394.0,16196.0,14400.0,340.0,1670.0,13800.0,2010.0,1010.0,16000.0,-140.0,16000.0,-140.0,3300.0,140.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,10.0,4.0,31.0,0.0,0.0,10.0,0.0,-1.0,-1.0
1682819544,1419.0,16196.0,14400.0,320.0,1660.0,13800.0,2010.0,1010.0,16000.0,-140.0,16000.0,-140.0,3300.0,140.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,10.0,4.0,31.0,0.0,0.0,19.5,0.0,-1.0,-1.0
1682819545,1453.0,16196.0,14400.0,320.0,1660.0,13800.0,2030.0,1000.0,16000.0,-140.0,16000.0,-140.0,3300.0,140.0,0.0,0.0,0.0,0.0,580.0,0.0,0.0,10.0,4.0,31.0,0.0,0.0,29.0,0.0,-1.0,-1.0
1682819546,1431.0,16196.0,14400.0,320.0,1660.0,13800.0,2030.0,1000.0,16000.0,-140.0,16000.0,-140.0,3300.0,140.0,0.0,0.0,0.0,0.0,580.0,0.0,0.0,10.0,4.0,31.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1682819547,1650.0,16186.0,14400.0,350.0,1670.0,13800.0,2030.0,1000.0,16000.0,-140.0,16000.0,-140.0,3300.0,140.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,10.0,4.0,31.0,0.0,0.0,9.0,0.0,-1.0,-1.0
1682819548,1484.0,16196.0,14400.0,350.0,1670.0,13800.0,2050.0,1010.0,16000.0,-140.0,16000.0,-140.0,3300.0,140.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,10.0,4.0,31.0,0.0,0.0,25.0,0.0,-1.0,-1.0
1682819549,1445.0,16196.0,14400.0,350.0,1670.0,13800.0,2050.0,1010.0,16000.0,-140.0,16000.0,-140.0,3300.0,140.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,10.0,4.0,31.0,0.0,0.0,11.0,0.0,-1.0,-1.0
1682819550,1453.0,16196.0,14400.0,360.0,1660.0,13800.0,2050.0,1010.0,16000.0,-140.0,16000.0,-140.0,3300.0,140.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,10.0,4.0,31.0,0.0,0.0,18.5,0.0,-1.0,-1.0
1682819551,1447.0,16201.0,14400.0,360.0,1660.0,13200.0,2140.0,1020.0,16000.0,-140.0,16000.0,-140.0,3300.0,140.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,10.0,4.0,31.0,0.0,0.0,26.0,0.0,-1.0,-1.0
1682819552,1442.0,16201.0,14400.0,360.0,1660.0,13200.0,2140.0,1020.0,16000.0,-140.0,16000.0,-140.0,3300.0,140.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,10.0,4.0,31.0,0.0,0.0,27.0,0.0,-1.0,-1.0
1682819553,1425.0,16201.0,14400.0,330.0,1660.0,13200.0,2140.0,1020.0,16000.0,-140.0,16000.0,-140.0,3300.0,140.0,0.0,0.0,0.0,0.0,580.0,0.0,0.0,10.0,4.0,31.0,0.0,0.0,11.0,0.0,-1.0,-1.0
1682819554,1439.0,16201.0,14400.0,330.0,1660.0,13200.0,2140.0,1020.0,16000.0,-140.0,16000.0,-140.0,3300.0,140.0,0.0,0.0,0.0,0.0,580.0,0.0,0.0,10.0,4.0,31.0,0.0,0.0,24.0,0.0,-1.0,-1.0
1682819555,1445.0,16196.0,14400.0,330.0,1660.0,13200.0,2140.0,1020.0,16000.0,-140.0,16000.0,-140.0,3300.0,140.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,10.0,4.0,31.0,0.0,0.0,13.0,0.0,-1.0,-1.0
