TIME,I_Atlas200DK-B,Main Voltage(V),TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1692236959,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,24.0,0.0,-1.0,-1.0
1692236960,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,29.0,0.0,-1.0,-1.0
1692236961,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,31.0,0.0,-1.0,-1.0
1692236962,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,6.0,0.0,-1.0,-1.0
1692236963,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,3.0,0.0,-1.0,-1.0
1692236964,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236965,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236966,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236967,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236968,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236969,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236970,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236971,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236972,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236973,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236974,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236975,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236976,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236977,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236978,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236979,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236980,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236981,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236982,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236983,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236984,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236985,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236986,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,8.0,0.0,-1.0,-1.0
1692236987,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,7.9,0.0,-1.0,-1.0
1692236988,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,7.9,0.0,-1.0,-1.0
1692236989,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,7.9,0.0,-1.0,-1.0
1692236990,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,7.9,0.0,-1.0,-1.0
1692236991,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,7.9,0.0,-1.0,-1.0
1692236992,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,7.9,0.0,-1.0,-1.0
1692236993,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,7.9,0.0,-1.0,-1.0
1692236994,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,7.9,0.0,-1.0,-1.0
1692236995,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,7.9,0.0,-1.0,-1.0
1692236996,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,7.9,0.0,-1.0,-1.0
1692236997,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,7.9,0.0,-1.0,-1.0
1692236998,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,7.9,0.0,-1.0,-1.0
1692236999,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,7.9,0.0,-1.0,-1.0
1692237000,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,7.9,0.0,-1.0,-1.0
1692237001,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,7.9,0.0,-1.0,-1.0
1692237002,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,7.9,0.0,-1.0,-1.0
1692237003,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,7.9,0.0,-1.0,-1.0
1692237004,-1.0,-1.0,38.0,12.8,32.0,0.0,0.0,7.9,0.0,-1.0,-1.0
