TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1688007503,1712.0,15809.0,800.0,0.0,0.0,800.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,640.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,17.0,0.0,-1.0,-1.0
1688007504,1712.0,15804.0,1000.0,0.0,0.0,800.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,640.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,17.0,0.0,-1.0,-1.0
1688007505,1703.0,15809.0,1000.0,0.0,0.0,800.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,640.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,11.0,0.0,-1.0,-1.0
1688007506,1692.0,15809.0,1000.0,0.0,0.0,800.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,120.0,580.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,15.0,0.0,-1.0,-1.0
1688007507,1706.0,15809.0,1000.0,0.0,0.0,800.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1688007508,1695.0,15809.0,1000.0,0.0,0.0,1000.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,640.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,11.0,0.0,-1.0,-1.0
1688007509,1686.0,15809.0,1000.0,0.0,0.0,1000.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,640.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,21.0,0.0,-1.0,-1.0
1688007510,1709.0,15809.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,5.0,0.0,-1.0,-1.0
1688007511,1712.0,15809.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,14.0,0.0,-1.0,-1.0
1688007512,1703.0,15809.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,23.0,0.0,-1.0,-1.0
1688007513,1698.0,15809.0,1400.0,0.0,0.0,1000.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,120.0,580.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1688007514,1678.0,15809.0,1400.0,0.0,0.0,1200.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,640.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,3.0,0.0,-1.0,-1.0
1688007515,1695.0,15809.0,1400.0,0.0,0.0,1200.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,640.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,5.3,0.0,-1.0,-1.0
1688007516,1698.0,15809.0,1400.0,0.0,0.0,1200.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,7.7,0.0,-1.0,-1.0
1688007517,1703.0,15804.0,1400.0,0.0,0.0,1400.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,10.0,0.0,-1.0,-1.0
1688007518,1692.0,15804.0,1400.0,0.0,0.0,1400.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,640.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,12.3,0.0,-1.0,-1.0
1688007519,1698.0,15804.0,1600.0,0.0,0.0,1400.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,640.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,14.7,0.0,-1.0,-1.0
1688007520,1703.0,15809.0,1600.0,0.0,0.0,1600.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,640.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,17.0,0.0,-1.0,-1.0
1688007521,1700.0,15809.0,1600.0,0.0,0.0,1600.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,640.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,12.0,0.0,-1.0,-1.0
1688007522,1726.0,15804.0,1800.0,0.0,0.0,1600.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,640.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,17.0,0.0,-1.0,-1.0
1688007523,1709.0,15804.0,1800.0,0.0,0.0,1800.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,640.0,0.0,0.0,13.5,12.8,31.0,0.0,0.0,14.5,0.0,-1.0,-1.0
1688007524,1720.0,15804.0,1800.0,0.0,0.0,1800.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,620.0,0.0,0.0,14.0,12.8,31.0,0.0,0.0,12.0,0.0,-1.0,-1.0
1688007525,1678.0,15804.0,2000.0,0.0,0.0,1800.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,24.0,0.0,-1.0,-1.0
1688007526,1703.0,15804.0,2000.0,0.0,0.0,2000.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,620.0,0.0,0.0,14.0,12.8,31.0,0.0,0.0,5.0,1.0,-1.0,-1.0
1688007527,1709.0,15804.0,2000.0,0.0,0.0,2000.0,0.0,0.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,580.0,0.0,0.0,0.0,620.0,0.0,0.0,14.0,12.8,31.0,0.0,0.0,24.0,0.0,-1.0,-1.0
