TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS,FRAME_INDEX,FRAME_SUCCESS
1688131635,1700.0,15766.0,600.0,0.0,0.0,600.0,0.0,0.0,15600.0,-210.0,15600.0,-210.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,32.0,0.0,0.0,28.0,0.0,-1.0,-1.0,-1.0,-1.0
1688131636,1672.0,15766.0,600.0,0.0,0.0,600.0,0.0,0.0,15600.0,-210.0,15600.0,-210.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,32.0,0.0,0.0,10.0,0.0,-1.0,-1.0,-1.0,-1.0
1688131637,1667.0,15766.0,800.0,0.0,0.0,600.0,0.0,0.0,15600.0,-210.0,15600.0,-210.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,32.0,0.0,0.0,14.0,0.0,-1.0,-1.0,-1.0,-1.0
1688131638,1681.0,15766.0,800.0,0.0,0.0,600.0,0.0,0.0,15600.0,-210.0,15600.0,-210.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,32.0,0.0,0.0,18.0,0.0,-1.0,-1.0,-1.0,-1.0
1688131639,1703.0,15766.0,800.0,0.0,0.0,600.0,0.0,0.0,15600.0,-210.0,15600.0,-210.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,32.0,0.0,0.0,18.0,0.0,-1.0,-1.0,-1.0,-1.0
1688131640,1717.0,15766.0,800.0,0.0,0.0,600.0,0.0,0.0,15600.0,-210.0,15600.0,-210.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,32.0,0.0,0.0,12.0,0.0,-1.0,-1.0,-1.0,-1.0
1688131641,1684.0,15766.0,800.0,0.0,0.0,800.0,0.0,0.0,15600.0,-210.0,15600.0,-210.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,32.0,0.0,0.0,22.0,0.0,-1.0,-1.0,-1.0,-1.0
1688131642,1678.0,15766.0,800.0,0.0,0.0,800.0,0.0,0.0,15600.0,-210.0,15600.0,-210.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,32.0,0.0,0.0,7.0,0.0,-1.0,-1.0,-1.0,-1.0
1688131643,1892.0,15752.0,1000.0,0.0,0.0,800.0,0.0,0.0,15600.0,-210.0,15600.0,-210.0,3300.0,1300.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,32.0,0.0,0.0,9.0,0.0,-1.0,-1.0,-1.0,-1.0
1688131644,1678.0,15766.0,1000.0,0.0,0.0,800.0,0.0,0.0,15600.0,-210.0,15600.0,-210.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,32.0,0.0,0.0,19.0,0.0,-1.0,-1.0,-1.0,-1.0
1688131645,1709.0,15766.0,1000.0,0.0,0.0,800.0,0.0,0.0,15600.0,-210.0,15600.0,-210.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,32.0,0.0,0.0,13.0,0.0,-1.0,-1.0,-1.0,-1.0
1688131646,1695.0,15762.0,1000.0,0.0,0.0,800.0,0.0,0.0,15600.0,-210.0,15600.0,-210.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,32.0,0.0,0.0,14.0,0.0,-1.0,-1.0,-1.0,-1.0
1688131647,1700.0,15766.0,1000.0,0.0,0.0,1000.0,0.0,0.0,15600.0,-210.0,15600.0,-210.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,32.0,0.0,0.0,15.0,0.0,-1.0,-1.0,-1.0,-1.0
1688131648,1678.0,15766.0,1000.0,0.0,0.0,1000.0,0.0,0.0,15600.0,-210.0,15600.0,-210.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,32.0,0.0,0.0,19.0,0.0,-1.0,-1.0,-1.0,-1.0
1688131649,1717.0,15766.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15600.0,-210.0,15600.0,-210.0,3300.0,120.0,540.0,0.0,0.0,0.0,640.0,0.0,0.0,13.0,12.8,32.0,0.0,0.0,10.0,1.0,-1.0,-1.0,-1.0,-1.0
1688131650,1698.0,15766.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15600.0,-210.0,15600.0,-210.0,3300.0,140.0,540.0,0.0,0.0,0.0,640.0,0.0,0.0,13.0,12.8,32.0,0.0,0.0,9.0,0.0,-1.0,-1.0,-1.0,-1.0
1688131651,1675.0,15766.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15600.0,-210.0,15600.0,-210.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,32.0,0.0,0.0,20.0,0.0,-1.0,-1.0,-1.0,-1.0
1688131652,1695.0,15766.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15600.0,-210.0,15600.0,-210.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,13.0,12.8,32.0,0.0,0.0,10.0,0.0,-1.0,-1.0,-1.0,-1.0
1688131653,1664.0,15766.0,1200.0,0.0,0.0,1200.0,0.0,0.0,15600.0,-210.0,15600.0,-210.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,14.0,12.8,32.0,0.0,0.0,18.0,0.0,-1.0,-1.0,-1.0,-1.0
1688131654,1684.0,15766.0,1200.0,0.0,0.0,1200.0,0.0,0.0,15600.0,-210.0,15600.0,-210.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,13.5,12.8,32.0,0.0,0.0,17.0,0.0,-1.0,-1.0,-1.0,-1.0
