TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1688520962,1743.0,15936.0,400.0,0.0,0.0,400.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,31.0,0.0,-1.0,-1.0
1688520963,1754.0,15936.0,400.0,0.0,0.0,400.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,11.5,8.0,31.0,0.0,0.0,24.0,0.0,-1.0,-1.0
1688520964,1748.0,15936.0,600.0,0.0,0.0,400.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,17.0,0.0,-1.0,-1.0
1688520965,1748.0,15936.0,600.0,0.0,0.0,400.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,23.0,0.0,-1.0,-1.0
1688520966,1768.0,15936.0,600.0,0.0,0.0,400.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,12.0,0.0,-1.0,-1.0
1688520967,1762.0,15936.0,600.0,0.0,0.0,400.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,14.0,0.0,-1.0,-1.0
1688520968,1765.0,15936.0,600.0,0.0,0.0,600.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,21.0,0.0,-1.0,-1.0
1688520969,1743.0,15936.0,600.0,0.0,0.0,600.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,16.0,0.0,-1.0,-1.0
1688520970,1771.0,15936.0,600.0,0.0,0.0,600.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1688520971,1759.0,15936.0,600.0,0.0,0.0,600.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,22.0,0.0,-1.0,-1.0
1688520972,1984.0,15922.0,600.0,0.0,0.0,600.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,14.0,0.0,-1.0,-1.0
1688520973,1785.0,15922.0,800.0,0.0,0.0,600.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,15.0,0.0,-1.0,-1.0
1688520974,2004.0,15922.0,800.0,0.0,0.0,600.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1688520975,1782.0,15936.0,800.0,0.0,0.0,600.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,17.5,0.0,-1.0,-1.0
1688520976,2032.0,15922.0,800.0,0.0,0.0,600.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,16.0,0.0,-1.0,-1.0
1688520977,1790.0,15936.0,800.0,0.0,0.0,800.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,20.0,0.0,-1.0,-1.0
1688520978,1990.0,15922.0,800.0,0.0,0.0,800.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,16.0,0.0,-1.0,-1.0
1688520979,1810.0,15932.0,1000.0,0.0,0.0,800.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,17.0,0.0,-1.0,-1.0
1688520980,2010.0,15922.0,1000.0,0.0,0.0,1000.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,18.0,0.0,-1.0,-1.0
1688520981,1779.0,15932.0,1000.0,0.0,0.0,1000.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,18.0,0.0,-1.0,-1.0
1688520982,2024.0,15917.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,18.0,0.0,-1.0,-1.0
1688520983,1810.0,15932.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1688520984,2015.0,15917.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15800.0,-190.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,18.0,0.0,-1.0,-1.0
1688520985,1774.0,15932.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15800.0,-190.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1688520986,2004.0,15922.0,1200.0,0.0,0.0,1200.0,0.0,0.0,15800.0,-190.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,17.0,0.0,-1.0,-1.0
1688520987,1793.0,15932.0,1200.0,0.0,0.0,1200.0,0.0,0.0,15800.0,-190.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,17.5,0.0,-1.0,-1.0
1688520988,1987.0,15917.0,1400.0,0.0,0.0,1200.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,18.0,0.0,-1.0,-1.0
1688520989,1788.0,15927.0,1400.0,0.0,0.0,1200.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1688520990,2001.0,15922.0,1400.0,0.0,0.0,1200.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,20.0,0.0,-1.0,-1.0
1688520991,1793.0,15932.0,1600.0,0.0,0.0,1200.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,16.0,0.0,-1.0,-1.0
1688520992,1984.0,15917.0,1600.0,0.0,0.0,1400.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,17.0,0.0,-1.0,-1.0
1688520993,1976.0,15927.0,1600.0,0.0,0.0,1400.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,120.0,540.0,0.0,0.0,0.0,600.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1688520994,2013.0,15917.0,1800.0,0.0,0.0,1400.0,0.0,0.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,600.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,18.0,0.0,-1.0,-1.0
