TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS,FRAME_INDEX,FRAME_SUCCESS
1687437512,1422.0,15861.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-190.0,15800.0,-190.0,3300.0,140.0,520.0,0.0,0.0,0.0,540.0,0.0,0.0,11.0,2.0,31.0,0.0,0.0,31.0,0.0,-1.0,-1.0,-1.0,-1.0
1687437513,1450.0,15861.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-190.0,15800.0,-190.0,3300.0,140.0,540.0,0.0,0.0,0.0,540.0,0.0,0.0,11.0,2.0,31.0,0.0,0.0,37.0,0.0,-1.0,-1.0,-1.0,-1.0
1687437514,1653.0,15847.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-190.0,15800.0,-190.0,3300.0,1300.0,540.0,0.0,0.0,0.0,540.0,0.0,0.0,11.0,2.0,31.0,0.0,0.0,25.0,0.0,-1.0,-1.0,-1.0,-1.0
1687437515,1419.0,15861.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-190.0,15800.0,-190.0,3300.0,120.0,540.0,0.0,0.0,0.0,540.0,0.0,0.0,11.0,2.0,31.0,0.0,0.0,13.0,0.0,-1.0,-1.0,-1.0,-1.0
1687437516,1405.0,15861.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-190.0,15800.0,-190.0,3300.0,140.0,520.0,0.0,0.0,0.0,540.0,0.0,0.0,11.0,2.0,31.0,0.0,0.0,30.0,0.0,-1.0,-1.0,-1.0,-1.0
1687437517,1431.0,15856.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-190.0,15800.0,-190.0,3300.0,120.0,520.0,0.0,0.0,0.0,540.0,0.0,0.0,11.0,2.0,31.0,0.0,0.0,12.0,0.0,-1.0,-1.0,-1.0,-1.0
1687437518,1436.0,15861.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-190.0,15800.0,-190.0,3300.0,120.0,540.0,0.0,0.0,0.0,540.0,0.0,0.0,11.0,2.0,31.0,0.0,0.0,31.0,0.0,-1.0,-1.0,-1.0,-1.0
1687437519,1439.0,15861.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-190.0,15800.0,-190.0,3300.0,120.0,540.0,0.0,0.0,0.0,540.0,0.0,0.0,11.0,2.0,31.0,0.0,0.0,31.5,0.0,-1.0,-1.0,-1.0,-1.0
1687437520,1447.0,15861.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-190.0,15800.0,-190.0,3300.0,140.0,540.0,0.0,0.0,0.0,540.0,0.0,0.0,11.0,2.0,31.0,0.0,0.0,32.0,0.0,-1.0,-1.0,-1.0,-1.0
1687437521,1408.0,15861.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-190.0,15800.0,-190.0,3300.0,120.0,520.0,0.0,0.0,0.0,540.0,0.0,0.0,11.0,2.0,31.0,0.0,0.0,34.0,0.0,-1.0,-1.0,-1.0,-1.0
