TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,FREQUENCY(48),VOLT,TEMP,INDEX,SUCCESS
1683559466,1363.0,15766.0,14400.0,380.0,1720.0,13800.0,2080.0,1070.0,15600.0,-200.0,15600.0,-200.0,3300.0,120.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,1800457088.0,0.946,17.5,-1.0,-1.0
1683559467,1127.0,15780.0,14400.0,360.0,1720.0,13800.0,2080.0,1070.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,1800457088.0,0.946,19.4,-1.0,-1.0
1683559468,1183.0,15780.0,14400.0,360.0,1720.0,13800.0,2080.0,1070.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,1800457088.0,0.946,19.0,-1.0,-1.0
1683559469,1206.0,15776.0,14400.0,360.0,1720.0,13800.0,2080.0,1070.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,1800457088.0,0.946,18.5,-1.0,-1.0
1683559470,1169.0,15776.0,14400.0,360.0,1720.0,13800.0,2080.0,1070.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,1800404352.0,0.946,17.5,-1.0,-1.0
1683559471,1346.0,15757.0,14400.0,360.0,1720.0,13600.0,2110.0,1070.0,15600.0,-200.0,15600.0,-200.0,3300.0,120.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,1800430720.0,0.946,18.7,-1.0,-1.0
1683559472,1135.0,15780.0,14400.0,360.0,1720.0,13600.0,2110.0,1070.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,1800457088.0,0.946,19.9,-1.0,-1.0
1683559473,1121.0,15780.0,14400.0,360.0,1720.0,13600.0,2110.0,1070.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,1800457088.0,0.946,18.5,-1.0,-1.0
1683559474,1172.0,15780.0,14400.0,360.0,1720.0,13800.0,2080.0,1060.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,1800457088.0,0.946,18.9,-1.0,-1.0
1683559475,1127.0,15780.0,14400.0,360.0,1720.0,13800.0,2080.0,1060.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,1800457088.0,0.946,17.5,-1.0,-1.0
1683559476,1369.0,15780.0,14400.0,390.0,1720.0,13800.0,2080.0,1060.0,15600.0,-200.0,15600.0,-200.0,3300.0,120.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,1800404352.0,0.946,18.0,-1.0,-1.0
1683559477,1135.0,15780.0,14400.0,390.0,1720.0,13800.0,2090.0,1060.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,1800457088.0,0.946,17.0,-1.0,-1.0
1683559478,1130.0,15785.0,14400.0,390.0,1720.0,13800.0,2090.0,1060.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,1800457088.0,0.946,18.0,-1.0,-1.0
1683559479,1158.0,15785.0,14400.0,340.0,1720.0,13800.0,2090.0,1060.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,1800457088.0,0.946,18.9,-1.0,-1.0
1683559480,1169.0,15785.0,14400.0,340.0,1720.0,13800.0,2070.0,1060.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,1800404352.0,0.946,18.0,-1.0,-1.0
1683559481,1127.0,15771.0,14400.0,340.0,1720.0,13800.0,2070.0,1060.0,15600.0,-200.0,15600.0,-200.0,3300.0,1300.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,1800457088.0,0.946,17.0,-1.0,-1.0
1683559482,1110.0,15785.0,14400.0,350.0,1720.0,13800.0,2070.0,1060.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,1800457088.0,0.946,18.9,-1.0,-1.0
1683559483,1346.0,15776.0,14400.0,350.0,1720.0,13800.0,2070.0,1060.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,1800457088.0,0.946,18.5,-1.0,-1.0
1683559484,1163.0,15785.0,14400.0,350.0,1720.0,13800.0,2070.0,1060.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,1800457088.0,0.946,17.5,-1.0,-1.0
1683559485,1141.0,15785.0,14400.0,400.0,1710.0,13800.0,2070.0,1060.0,15600.0,-200.0,15600.0,-200.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,1800457088.0,0.946,17.5,-1.0,-1.0
1683559486,1366.0,15766.0,14400.0,400.0,1710.0,13800.0,2080.0,1060.0,15600.0,-200.0,15600.0,-200.0,3300.0,1300.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,1800404352.0,0.946,17.5,-1.0,-1.0
