TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,FREQUENCY(48),VOLT,TEMP,INDEX,SUCCESS
1683763200,1650.0,15677.0,15400.0,990.0,620.0,14800.0,820.0,390.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,19.4,-1.0,-1.0
1683763201,1189.0,15700.0,15400.0,990.0,620.0,14800.0,820.0,390.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,1800457080.0,0.946,19.4,-1.0,-1.0
1683763202,1622.0,15677.0,15400.0,1000.0,620.0,14800.0,820.0,390.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,1800457073.0,0.946,19.4,-1.0,-1.0
1683763203,1183.0,15700.0,15400.0,1000.0,620.0,14600.0,820.0,390.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,1800457065.0,0.946,19.4,-1.0,-1.0
1683763204,1636.0,15681.0,15400.0,1000.0,620.0,14600.0,820.0,390.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,1800457057.0,0.946,19.4,-1.0,-1.0
1683763205,1197.0,15700.0,15400.0,1000.0,620.0,14600.0,820.0,390.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,1800457049.0,0.946,19.4,-1.0,-1.0
1683763206,1627.0,15677.0,15400.0,1000.0,620.0,14800.0,820.0,390.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,1800457042.0,0.946,19.4,-1.0,-1.0
1683763207,1172.0,15700.0,15400.0,1000.0,620.0,14800.0,820.0,390.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,1800457034.0,0.946,19.4,-1.0,-1.0
1683763208,1636.0,15677.0,15600.0,980.0,620.0,14800.0,820.0,390.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,1800457026.0,0.946,19.4,-1.0,-1.0
1683763209,1183.0,15700.0,15600.0,980.0,620.0,14800.0,820.0,390.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,1800457018.0,0.946,19.4,-1.0,-1.0
