TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,ATLAS_A_TEMP,ATLAS_B_TEMP,PI_A_TEMP,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1688791785,1675.0,15979.0,400.0,0.0,0.0,400.0,0.0,0.0,15800.0,-170.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,14.0,12.8,31.0,0.0,0.0,30.0,1.0,-1.0,-1.0
1688791786,1855.0,15969.0,400.0,0.0,0.0,400.0,0.0,0.0,15800.0,-170.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,13.0,12.8,31.0,0.0,0.0,6.0,0.0,-1.0,-1.0
1688791787,1661.0,15983.0,400.0,0.0,0.0,400.0,0.0,0.0,15800.0,-170.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,1.0,5.0,0.0,13.0,12.8,31.0,0.0,0.0,24.0,0.0,-1.0,-1.0
1688791788,1647.0,15983.0,400.0,0.0,0.0,400.0,0.0,0.0,15800.0,-170.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,1.0,5.0,0.0,14.0,12.8,31.0,0.0,0.0,10.0,0.0,-1.0,-1.0
1688791789,1664.0,15983.0,400.0,0.0,0.0,400.0,0.0,0.0,15800.0,-170.0,15800.0,-180.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,14.0,12.8,31.0,0.0,0.0,15.0,0.0,-1.0,-1.0
1688791790,1667.0,15983.0,600.0,0.0,0.0,400.0,0.0,0.0,15800.0,-170.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,14.0,12.8,31.0,0.0,0.0,20.0,0.0,-1.0,-1.0
1688791791,1664.0,15983.0,600.0,0.0,0.0,400.0,0.0,0.0,15800.0,-170.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,1.0,5.0,1.0,14.0,12.8,31.0,0.0,0.0,12.0,0.0,-1.0,-1.0
1688791792,1861.0,15969.0,600.0,0.0,0.0,400.0,0.0,0.0,15800.0,-180.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,1.0,5.0,1.0,14.0,12.8,31.0,0.0,0.0,17.0,0.0,-1.0,-1.0
1688791793,1670.0,15983.0,600.0,0.0,0.0,400.0,0.0,0.0,15800.0,-180.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,14.0,12.8,31.0,0.0,0.0,11.0,0.0,-1.0,-1.0
1688791794,1700.0,15983.0,600.0,0.0,0.0,600.0,0.0,0.0,15800.0,-180.0,15800.0,-170.0,3300.0,140.0,540.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,14.0,12.8,31.0,0.0,0.0,22.0,0.0,-1.0,-1.0
