TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,ATLAS_A_TEMP,ATLAS_B_TEMP,PI_A_TEMP,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS,FRAME_INDEX,FRAME_SUCCESS
1688865100,1231.0,15035.0,0.0,0.0,0.0,0.0,0.0,0.0,14800.0,-320.0,14800.0,-310.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,4.0,7.0,4.0,17.0,12.8,34.0,0.0,0.0,15.0,0.0,-1.0,-1.0,-1.0,-1.0
1688865101,1197.0,15035.0,0.0,0.0,0.0,0.0,0.0,0.0,14800.0,-320.0,14800.0,-310.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,4.0,7.0,4.0,17.0,12.8,34.0,0.0,0.0,21.0,0.0,-1.0,-1.0,-1.0,-1.0
1688865102,1251.0,15035.0,200.0,0.0,0.0,0.0,0.0,0.0,14800.0,-320.0,14800.0,-310.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,17.0,12.8,34.0,0.0,0.0,11.0,1.0,-1.0,-1.0,-1.0,-1.0
1688865103,1208.0,15035.0,200.0,0.0,0.0,0.0,0.0,0.0,14800.0,-320.0,14800.0,-310.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,17.0,12.8,34.0,0.0,0.0,16.0,0.5,-1.0,-1.0,-1.0,-1.0
1688865104,1223.0,15035.0,200.0,0.0,0.0,0.0,0.0,0.0,14800.0,-320.0,14800.0,-310.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,4.0,7.0,4.0,17.0,12.8,34.0,0.0,0.0,21.0,0.0,-1.0,-1.0,-1.0,-1.0
1688865105,1200.0,15035.0,200.0,0.0,0.0,0.0,0.0,0.0,14800.0,-320.0,14800.0,-310.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,4.0,7.0,4.0,17.0,12.8,34.0,0.0,0.0,13.0,0.0,-1.0,-1.0,-1.0,-1.0
1688865106,1225.0,15035.0,200.0,0.0,0.0,0.0,0.0,0.0,14800.0,-320.0,14800.0,-310.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,17.0,12.8,34.0,0.0,0.0,16.0,0.0,-1.0,-1.0,-1.0,-1.0
1688865107,1253.0,15035.0,200.0,0.0,0.0,0.0,0.0,0.0,14800.0,-320.0,14800.0,-310.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,17.0,12.8,34.0,0.0,0.0,20.0,0.0,-1.0,-1.0,-1.0,-1.0
1688865108,1217.0,15035.0,200.0,0.0,0.0,0.0,0.0,0.0,14800.0,-320.0,14800.0,-310.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,4.0,7.0,4.0,17.0,12.8,34.0,0.0,0.0,23.0,0.0,-1.0,-1.0,-1.0,-1.0
1688865109,1220.0,15035.0,200.0,0.0,0.0,0.0,0.0,0.0,14800.0,-320.0,14800.0,-310.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,4.0,7.0,4.0,17.0,12.8,34.0,0.0,0.0,7.0,0.0,-1.0,-1.0,-1.0,-1.0
