TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,ATLAS_A_TEMP,ATLAS_B_TEMP,PI_A_TEMP,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1688874282,1729.0,15908.0,12400.0,280.0,1410.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,16.0,12.8,31.0,0.0,0.0,28.0,0.0,-1.0,-1.0
1688874283,1315.0,15917.0,12400.0,270.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,16.0,12.8,31.0,0.0,0.0,14.0,0.0,-1.0,-1.0
1688874284,1540.0,15913.0,12400.0,270.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,4.0,7.0,4.0,16.0,12.8,31.0,0.0,0.0,15.0,0.0,-1.0,-1.0
1688874285,1304.0,15917.0,12400.0,270.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,4.0,7.0,4.0,16.0,12.8,31.0,0.0,0.0,18.5,0.0,-1.0,-1.0
1688874286,1731.0,15898.0,12400.0,300.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,1300.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,16.0,12.8,31.0,0.0,0.0,22.0,0.0,-1.0,-1.0
1688874287,1332.0,15917.0,12400.0,300.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,16.0,12.8,31.0,0.0,0.0,7.0,0.0,-1.0,-1.0
1688874288,1754.0,15908.0,12400.0,300.0,1400.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,4.0,7.0,4.0,16.0,12.8,31.0,0.0,0.0,22.0,0.0,-1.0,-1.0
1688874289,1363.0,15917.0,12400.0,290.0,1410.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,4.0,7.0,4.0,16.0,12.8,31.0,0.0,0.0,10.0,0.0,-1.0,-1.0
1688874290,1506.0,15908.0,12400.0,290.0,1410.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,16.0,12.8,31.0,0.0,0.0,12.0,0.0,-1.0,-1.0
1688874291,1321.0,15917.0,12400.0,290.0,1410.0,12000.0,2020.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,16.0,12.8,31.0,0.0,0.0,17.0,0.0,-1.0,-1.0
