TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,ATLAS_A_TEMP,ATLAS_B_TEMP,PI_A_TEMP,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS,FRAME_INDEX,FRAME_SUCCESS
1689218463,1329.0,16290.0,13800.0,1390.0,720.0,13200.0,1370.0,560.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,15.0,12.8,34.0,0.0,0.0,18.0,0.0,-1.0,-1.0,-1.0,-1.0
1689218464,1287.0,16290.0,13800.0,1390.0,720.0,13400.0,1340.0,550.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,15.0,12.8,34.0,0.0,0.0,22.0,0.0,-1.0,-1.0,-1.0,-1.0
1689218465,1166.0,16290.0,13800.0,1390.0,720.0,13400.0,1340.0,550.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,3.0,6.0,3.0,15.0,12.8,34.0,0.0,0.0,9.0,0.0,-1.0,-1.0,-1.0,-1.0
1689218466,1149.0,16290.0,13800.0,1270.0,630.0,13400.0,1340.0,550.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,3.0,6.0,3.0,15.0,12.8,34.0,0.0,0.0,21.0,0.0,-1.0,-1.0,-1.0,-1.0
1689218467,1200.0,16290.0,13800.0,1270.0,630.0,13600.0,1240.0,510.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,15.0,12.8,34.0,0.0,0.0,15.5,0.0,-1.0,-1.0,-1.0,-1.0
1689218468,1183.0,16290.0,13800.0,1270.0,630.0,13600.0,1240.0,510.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,15.0,12.8,34.0,0.0,0.0,10.0,0.0,-1.0,-1.0,-1.0,-1.0
1689218469,1141.0,16290.0,13800.0,1280.0,650.0,13600.0,1240.0,510.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,3.0,6.0,3.0,15.0,12.8,34.0,0.0,0.0,20.0,0.0,-1.0,-1.0,-1.0,-1.0
1689218470,1152.0,16290.0,13800.0,1280.0,650.0,13600.0,1230.0,500.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,3.0,6.0,3.0,15.0,12.8,34.0,0.0,0.0,12.0,0.0,-1.0,-1.0,-1.0,-1.0
1689218471,1180.0,16290.0,13800.0,1280.0,650.0,13600.0,1230.0,500.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,15.0,12.8,34.0,0.0,0.0,23.0,0.0,-1.0,-1.0,-1.0,-1.0
1689218472,1169.0,16290.0,13800.0,1280.0,660.0,13600.0,1230.0,500.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,15.0,12.8,34.0,0.0,0.0,6.0,0.0,-1.0,-1.0,-1.0,-1.0
