TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,ATLAS_A_TEMP,ATLAS_B_TEMP,PI_A_TEMP,FREQUENCY(48),VOLT,TEMP,INDEX,SUCCESS
1688778302,1000,16290,13800,1480,770,13800,1040,480,16200,-120,16200,-120,3300,140,580,0,0,0,0,420,0,3,4,3,1800457088,0.946,21.9,-1,-1
1688778303,1037,16290,13800,1480,770,13800,1040,480,16200,-120,16200,-120,3300,140,580,0,0,0,0,320,0,3,4,3,1800404352,0.946,21.4,-1,-1
1688778304,975,16290,13800,1420,720,13800,1040,480,16200,-120,16200,-120,3300,140,580,0,0,0,0,320,0,0,0,0,1800457088,0.946,22.8,-1,-1
1688778305,1037,16290,13800,1420,720,13800,1030,460,16200,-120,16200,-120,3300,140,580,0,0,0,0,420,0,0,0,0,1800430720,0.946,22.6,-1,-1
1688778306,1073,16290,13800,1420,720,13800,1030,460,16200,-120,16200,-120,3300,140,580,0,0,0,0,420,0,3,4,3,1800404352,0.946,22.3,-1,-1
1688778307,1012,16290,13800,1490,750,13800,1030,460,16200,-130,16200,-120,3300,140,580,0,0,0,0,460,0,3,4,3,1800430720,0.946,22.1,-1,-1
1688778308,989,16290,13800,1490,750,13800,1040,490,16200,-130,16200,-120,3300,140,580,0,0,0,0,460,0,0,0,0,1800457088,0.946,21.9,-1,-1
1688778309,1026,16290,13800,1490,750,13800,1040,490,16200,-130,16200,-120,3300,140,580,0,0,0,0,380,0,0,0,0,1800404352,0.946,20.9,-1,-1
1688778310,989,16290,13800,1500,770,13800,1040,490,16200,-130,16200,-120,3300,140,580,0,0,0,0,380,0,3,4,3,1800457088,0.946,20.9,-1,-1
1688778311,1102,16286,13800,1500,770,13800,1040,480,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,3,4,3,1800457088,0.946,20.4,-1,-1
1688778312,1040,16290,13800,1500,770,13800,1040,480,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,0,0,0,1800404352,0.946,21.9,-1,-1
1688778313,1009,16290,13800,1460,760,13800,1040,480,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,0,0,0,1800457088,0.946,21.4,-1,-1
1688778314,1009,16290,13800,1460,760,14000,1010,450,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,3,4,3,1800457088,0.946,20.9,-1,-1
1688778315,961,16290,13800,1460,760,14000,1010,450,16200,-130,16200,-120,3300,140,580,0,0,0,0,320,0,3,4,3,1800404352,0.946,21.9,-1,-1
1688778316,986,16290,13800,1450,730,14000,1010,450,16200,-130,16200,-120,3300,140,580,0,0,0,0,320,0,0,0,0,1800457088,0.946,22.3,-1,-1
1688778317,1256,16286,13800,1450,730,13800,1200,540,16200,-130,16200,-120,3300,80,580,0,0,0,0,580,0,0,0,0,600117184,0.88,21.4,-1,-1
1688778318,989,16290,13800,1450,730,13800,1200,540,16200,-130,16200,-120,3300,140,580,0,0,0,0,580,0,3,4,3,1800457088,0.946,20.4,-1,-1
1688778319,989,16290,13800,1460,750,13800,1200,540,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,3,4,3,1800457088,0.946,21.9,-1,-1
1688778320,1014,16290,13800,1460,750,14000,1020,450,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,0,0,0,1800457088,0.946,21.4,-1,-1
1688778321,1037,16290,13800,1460,750,14000,1020,450,16200,-130,16200,-120,3300,140,580,0,0,0,0,560,0,0,0,0,1800457088,0.946,20.4,-1,-1
1688778322,984,16290,13800,1460,750,14000,1020,450,16200,-130,16200,-120,3300,140,580,0,0,0,0,560,0,3,4,3,1800404352,0.946,20.9,-1,-1
1688778323,995,16290,13800,1460,750,13800,1050,470,16200,-130,16200,-120,3300,140,580,0,0,0,0,680,0,3,4,3,1800457088,0.946,21.4,-1,-1
1688778324,1009,16290,13800,1460,750,13800,1050,470,16200,-130,16200,-120,3300,140,580,0,0,0,0,680,0,0,0,0,1800404352,0.946,21.9,-1,-1
1688778325,978,16290,13800,1410,730,13800,1050,470,16200,-130,16200,-120,3300,140,580,0,0,0,0,560,0,0,0,0,1800404352,0.946,21.9,-1,-1
1688778326,1073,16290,13800,1410,730,13800,1130,510,16200,-130,16200,-120,3300,140,580,0,0,0,0,560,0,3,4,3,1800457088,0.946,20.9,-1,-1
1688778327,1040,16290,13800,1410,730,13800,1130,510,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,3,4,3,1800457088,0.946,21.9,-1,-1
1688778328,975,16290,13800,1430,740,13800,1130,510,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,0,0,0,1000265600,0.88,21.9,-1,-1
1688778329,961,16290,13800,1430,740,13800,1040,470,16200,-130,16200,-120,3300,140,580,0,0,0,0,680,0,0,0,0,1800404352,0.946,21.4,-1,-1
1688778330,1026,16290,13800,1430,740,13800,1040,470,16200,-130,16200,-120,3300,140,580,0,0,0,0,680,0,3,4,3,1800457088,0.946,21.9,-1,-1
1688778331,986,16290,13800,1470,740,13800,1040,470,16200,-130,16200,-120,3300,140,580,0,0,0,0,560,0,3,4,3,1800457088,0.946,21.9,-1,-1
1688778332,1144,16290,13800,1470,740,13800,1080,480,16200,-130,16200,-120,3300,140,580,0,0,0,0,560,0,0,0,0,1800404352,0.946,21.9,-1,-1
1688778333,1003,16286,13800,1470,740,13800,1080,480,16200,-130,16200,-120,3300,140,580,0,0,0,0,520,0,0,0,0,1800457088,0.946,21.9,-1,-1
1688778334,958,16290,13800,1500,750,13800,1080,480,16200,-130,16200,-120,3300,140,600,0,0,0,0,520,0,3,4,3,1800457088,0.946,21.9,-1,-1
1688778335,1012,16290,13800,1500,750,13800,1010,460,16200,-120,16200,-120,3300,140,580,0,0,0,0,420,0,3,4,3,1800457088,0.946,22.8,-1,-1
1688778336,1057,16290,13800,1500,750,13800,1010,460,16200,-120,16200,-120,3300,140,580,0,0,0,0,420,0,0,0,0,1800457088,0.946,23.3,-1,-1
1688778337,1003,16290,13800,1420,740,13800,1010,460,16200,-120,16200,-120,3300,140,580,0,0,0,0,720,0,0,0,0,1800404352,0.946,21.9,-1,-1
1688778338,1009,16290,13800,1420,740,13800,1070,470,16200,-120,16200,-120,3300,140,580,0,0,0,0,720,0,3,4,3,1800404352,0.946,23.3,-1,-1
1688778339,986,16290,13800,1420,740,13800,1070,470,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,3,4,3,600169920,0.88,22.3,-1,-1
1688778340,1009,16290,13800,1450,760,13800,1070,470,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,0,0,0,1800404352,0.946,21.4,-1,-1
1688778341,1009,16286,13800,1450,760,13800,1040,460,16200,-130,16200,-120,3300,140,580,0,0,0,0,600,0,0,0,0,1800404352,0.946,21.8,-1,-1
1688778342,1057,16286,13800,1450,760,13800,1040,460,16200,-130,16200,-120,3300,140,580,0,0,0,0,600,0,3,4,3,1800404352,0.946,22.3,-1,-1
1688778343,989,16290,13800,1440,740,13800,1040,460,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,3,4,3,1800457088,0.946,22.8,-1,-1
1688778344,998,16290,13800,1440,740,13800,1040,480,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,0,0,0,1800404352,0.946,22.3,-1,-1
1688778345,1045,16290,13800,1440,740,13800,1040,480,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,0,0,0,1800457088,0.946,23.3,-1,-1
1688778346,984,16290,13800,1460,760,13800,1040,480,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,3,4,3,900228544,0.88,22.3,-1,-1
1688778347,1068,16290,13800,1460,760,14000,1050,490,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,3,4,3,1800457088,0.946,22.8,-1,-1
1688778348,989,16290,13800,1460,760,14000,1050,490,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,0,0,0,1800457088,0.946,22.8,-1,-1
1688778349,969,16290,13800,1440,750,14000,1050,490,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,0,0,0,1800457088,0.946,23.3,-1,-1
1688778350,995,16290,13800,1440,750,13800,1030,470,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,3,4,3,1800457088,0.946,23.8,-1,-1
1688778351,984,16290,13800,1440,750,13800,1030,470,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,3,4,3,1800457088,0.946,22.3,-1,-1
1688778352,992,16286,13800,1440,770,13800,1030,470,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,0,0,0,1200287104,0.88,21.9,-1,-1
1688778353,1000,16290,13800,1440,770,13800,1060,480,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,0,0,0,1800404352,0.946,22.8,-1,-1
1688778354,1023,16290,13800,1440,770,13800,1060,480,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,3,4,3,1800457088,0.946,23.3,-1,-1
1688778355,1003,16290,13800,1420,730,13800,1060,480,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,3,4,3,1800404352,0.946,23.3,-1,-1
1688778356,1006,16290,13800,1420,730,13800,1050,480,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,0,0,0,1800404352,0.946,23.3,-1,-1
1688778357,1003,16290,13800,1420,730,13800,1050,480,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,0,0,0,1800404352,0.946,23.3,-1,-1
1688778358,972,16290,13800,1420,740,13800,1050,480,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,3,4,3,1800404352,0.946,23.3,-1,-1
1688778359,1054,16290,13800,1420,740,13800,1030,460,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,3,4,3,1800457088,0.946,24.3,-1,-1
1688778360,1003,16290,13800,1420,740,13800,1030,460,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,0,0,0,1800457088,0.946,23.3,-1,-1
1688778361,1003,16290,13800,1450,720,13800,1030,460,16200,-130,16200,-120,3300,140,580,0,0,0,0,420,0,0,0,0,1800404352,0.946,25.3,-1,-1
