TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,ATLAS_A_TEMP,ATLAS_B_TEMP,PI_A_TEMP,FREQUENCY(48),VOLT,TEMP,INDEX,SUCCESS
1688964515,1040.0,16295.0,13800.0,1080.0,540.0,14000.0,810.0,360.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800404352.0,0.946,21.9,-1.0,-1.0
1688964516,995.0,16290.0,13800.0,1080.0,540.0,14000.0,870.0,360.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800404352.0,0.946,20.9,-1.0,-1.0
1688964517,998.0,16290.0,13800.0,1080.0,540.0,14000.0,870.0,360.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,380.0,0.0,3.0,3.0,3.0,1000212864.0,0.88,19.9,-1.0,-1.0
1688964518,981.0,16290.0,13800.0,1100.0,520.0,14000.0,870.0,360.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,380.0,0.0,3.0,3.0,3.0,1800457088.0,0.946,19.4,-1.0,-1.0
1688964519,1023.0,16290.0,13800.0,1100.0,520.0,14000.0,790.0,340.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,20.9,-1.0,-1.0
1688964520,978.0,16290.0,13800.0,1100.0,520.0,14000.0,790.0,340.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,19.9,-1.0,-1.0
1688964521,1012.0,16290.0,13800.0,1100.0,500.0,14000.0,790.0,340.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,420.0,0.0,3.0,3.0,3.0,1800404352.0,0.946,19.9,-1.0,-1.0
1688964522,995.0,16290.0,13800.0,1100.0,500.0,14000.0,860.0,340.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,420.0,0.0,3.0,3.0,3.0,800191424.0,0.88,21.4,-1.0,-1.0
1688964523,992.0,16290.0,13800.0,1100.0,500.0,14000.0,860.0,340.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,20.4,-1.0,-1.0
1688964524,992.0,16290.0,13800.0,1110.0,540.0,14000.0,860.0,340.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,20.4,-1.0,-1.0
1688964525,1093.0,16290.0,13800.0,1110.0,540.0,14000.0,830.0,370.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,560.0,0.0,3.0,3.0,3.0,1800404352.0,0.946,20.9,-1.0,-1.0
1688964526,989.0,16290.0,13800.0,1110.0,540.0,14000.0,830.0,370.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,560.0,0.0,3.0,3.0,3.0,1800404352.0,0.946,20.9,-1.0,-1.0
1688964527,998.0,16290.0,13800.0,1120.0,570.0,14000.0,830.0,370.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,700154304.0,0.88,20.4,-1.0,-1.0
1688964528,1043.0,16290.0,13800.0,1120.0,570.0,14000.0,840.0,360.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,20.9,-1.0,-1.0
1688964529,1045.0,16290.0,13800.0,1120.0,570.0,14000.0,840.0,360.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,420.0,0.0,3.0,3.0,3.0,1800457088.0,0.946,20.9,-1.0,-1.0
1688964530,1014.0,16290.0,13800.0,1090.0,540.0,14000.0,840.0,360.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,580.0,0.0,0.0,0.0,0.0,420.0,0.0,3.0,3.0,3.0,1800457088.0,0.946,19.9,-1.0,-1.0
