TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,ATLAS_A_TEMP,ATLAS_B_TEMP,PI_A_TEMP,FREQUENCY(48),VOLT,TEMP,INDEX,SUCCESS
1689037824,1130.0,16286.0,13800.0,1490.0,770.0,13400.0,1310.0,560.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,540.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,1800404352.0,0.946,22.3,-1.0,-1.0
1689037825,1234.0,16290.0,13800.0,1490.0,770.0,13200.0,1350.0,570.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,540.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,1800430720.0,0.946,21.6,-1.0,-1.0
1689037826,1166.0,16290.0,13800.0,1490.0,770.0,13200.0,1350.0,570.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,540.0,0.0,0.0,0.0,0.0,440.0,0.0,3.0,3.0,3.0,1800457088.0,0.946,20.9,-1.0,-1.0
1689037827,1450.0,16286.0,13600.0,1820.0,990.0,13200.0,1350.0,570.0,16200.0,-130.0,16200.0,-120.0,3300.0,1320.0,540.0,0.0,0.0,0.0,0.0,440.0,0.0,3.0,3.0,3.0,1800457088.0,0.946,21.9,-1.0,-1.0
1689037828,1135.0,16290.0,13600.0,1820.0,990.0,13400.0,1360.0,550.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,540.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800404352.0,0.946,20.9,-1.0,-1.0
1689037829,1149.0,16290.0,13600.0,1820.0,990.0,13400.0,1360.0,550.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,540.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,800191424.0,0.88,19.9,-1.0,-1.0
1689037830,1197.0,16286.0,13800.0,1540.0,780.0,13400.0,1360.0,550.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,540.0,0.0,0.0,0.0,0.0,680.0,0.0,3.0,3.0,3.0,1800457088.0,0.946,20.9,-1.0,-1.0
1689037831,1130.0,16290.0,13800.0,1540.0,780.0,13200.0,1350.0,530.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,540.0,0.0,0.0,0.0,0.0,680.0,0.0,3.0,3.0,3.0,1800404352.0,0.946,21.9,-1.0,-1.0
1689037832,1138.0,16290.0,13800.0,1540.0,780.0,13200.0,1350.0,530.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,540.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,20.9,-1.0,-1.0
1689037833,1214.0,16290.0,13800.0,1500.0,770.0,13200.0,1350.0,530.0,16200.0,-130.0,16200.0,-120.0,3300.0,140.0,540.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,21.4,-1.0,-1.0
