TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,ATLAS_A_TEMP,ATLAS_B_TEMP,PI_A_TEMP,FREQUENCY(48),VOLT,TEMP,INDEX,SUCCESS
1683644808,1135.0,16257.0,13200.0,270.0,1480.0,12400.0,2040.0,890.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,19.4,-1.0,-1.0
1683644809,1192.0,16257.0,13200.0,270.0,1480.0,12400.0,2040.0,890.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,18.9,-1.0,-1.0
1683644810,1175.0,16257.0,13200.0,270.0,1480.0,12400.0,2040.0,890.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,18.9,-1.0,-1.0
1683644811,1141.0,16257.0,13400.0,240.0,1480.0,12400.0,2040.0,890.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,19.4,-1.0,-1.0
1683644812,1124.0,16253.0,13400.0,240.0,1480.0,12600.0,2030.0,890.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,18.9,-1.0,-1.0
1683644813,1102.0,16262.0,13400.0,240.0,1480.0,12600.0,2030.0,890.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,18.0,-1.0,-1.0
1683644814,1169.0,16262.0,13200.0,240.0,1470.0,12600.0,2030.0,890.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,18.5,-1.0,-1.0
1683644815,1099.0,16262.0,13200.0,240.0,1470.0,12400.0,2060.0,890.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,18.5,-1.0,-1.0
1683644816,1096.0,16262.0,13200.0,240.0,1470.0,12400.0,2060.0,890.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,18.5,-1.0,-1.0
1683644817,1113.0,16257.0,13400.0,230.0,1470.0,12400.0,2060.0,890.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,18.0,-1.0,-1.0
1683644818,1116.0,16257.0,13400.0,230.0,1470.0,12400.0,2000.0,880.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,18.0,-1.0,-1.0
1683644819,1088.0,16262.0,13400.0,230.0,1470.0,12400.0,2000.0,880.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,700154304.0,0.88,17.5,-1.0,-1.0
1683644820,1110.0,16262.0,13200.0,260.0,1480.0,12400.0,2000.0,880.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,1800457088.0,0.946,18.5,-1.0,-1.0
1683644821,1163.0,16257.0,13200.0,260.0,1480.0,12200.0,2050.0,880.0,16000.0,-130.0,16000.0,-130.0,3300.0,140.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,1800404352.0,0.946,18.5,-1.0,-1.0
