TIME,Main(mA),Main Voltage(V),TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS,FRAME_INDEX,FRAME_SUCCESS
1688685034,675.3072039248522,11.961161111111108,38.0,8.0,32.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,-1.0
1688685035,675.0946568230783,11.96124,38.0,8.0,32.0,0.0,0.0,36.0,0.0,1.0,0.0,0.0,-1.0
1688685036,671.1444814762572,11.961171568627458,38.0,8.0,32.0,0.0,0.0,21.0,1.0,1.0,0.0,0.0,-1.0
1688685037,671.8700022017366,11.961035714285718,38.0,8.0,33.0,0.0,0.0,30.0,0.0,1.0,0.0,0.0,-1.0
1688685038,673.9884170671112,11.961230000000002,38.0,8.0,33.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,-1.0
1688685039,669.0612413680021,11.961035000000004,38.0,8.0,34.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,-1.0
1688685040,681.1025628047585,11.960815000000002,38.0,8.0,35.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,-1.0
1688685041,676.1942643779594,11.960369999999998,38.0,8.0,35.5,0.0,0.0,27.5,0.5,1.0,0.0,0.0,-1.0
1688685042,681.5616748980437,11.961235000000004,38.0,8.0,36.0,0.0,0.0,28.0,1.0,1.0,0.0,0.0,-1.0
1688685043,670.0190761709359,11.961144999999998,38.0,8.0,37.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,-1.0
1688685044,683.323514978807,11.960836734693878,39.0,8.0,38.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,-1.0
1688685045,676.105951750628,11.960946078431377,39.0,8.0,36.0,0.0,0.0,44.0,0.0,1.0,0.0,0.0,-1.0
1688685046,679.7392086682452,11.960627551020403,39.0,8.0,36.0,0.0,0.0,36.0,1.0,1.0,0.0,0.0,-1.0
1688685047,672.8883775042808,11.961025,39.0,8.0,36.0,0.0,0.0,40.0,1.5,1.0,0.0,0.0,-1.0
1688685048,681.0165392568135,11.960665,39.0,8.0,36.0,0.0,0.0,44.0,2.0,1.0,0.0,0.0,-1.0
1688685049,674.2581484880078,11.960887254901962,39.0,8.0,36.0,0.0,0.0,39.0,0.0,1.0,0.0,0.0,-1.0
1688685050,677.3787310458367,11.961331632653067,39.0,8.0,36.0,0.0,0.0,47.0,2.0,1.0,0.0,0.0,-1.0
1688685051,717.8482112462361,11.961235000000002,39.0,8.0,39.0,0.0,0.0,46.0,2.0,1.0,0.0,0.0,-1.0
1688685052,711.4784048968604,11.961284313725493,39.0,8.0,44.0,0.0,0.0,98.0,4.0,1.0,0.0,0.0,-1.0
1688685053,730.8043903604998,11.962086734693882,39.0,8.0,45.5,0.0,0.0,99.0,3.5,1.0,0.0,1.0,1.0
1688685054,761.4641662868363,11.96149,39.0,8.0,47.0,0.0,0.0,100.0,3.0,1.0,0.0,11.0,1.0
1688685055,737.5750577768392,11.965595,40.0,8.0,51.0,0.0,0.0,100.0,7.0,1.0,0.0,20.0,1.0
