TIME,Main(mA),Main Voltage(V),TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS,FRAME_INDEX,FRAME_SUCCESS
1688592373,633.2312063685274,11.962144444444446,36.0,2.0,31.0,0.0,0.0,33.0,0.0,-1.0,-1.0,-1.0,-1.0
1688592374,633.2636149812334,11.960795,36.0,2.0,32.0,0.0,0.0,31.0,0.0,1.0,0.0,0.0,-1.0
1688592375,627.8621022497647,11.96097549019608,36.0,2.0,32.0,0.0,0.0,38.0,0.0,1.0,0.0,0.0,-1.0
1688592376,633.0385765511988,11.96191836734694,36.0,2.0,32.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,-1.0
1688592377,630.8932906899686,11.961135,36.0,2.0,32.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,-1.0
1688592378,626.8740241019018,11.961375,36.0,2.0,32.0,0.0,0.0,43.0,0.0,1.0,0.0,0.0,-1.0
1688592379,633.3748656140812,11.961185000000002,36.0,2.0,32.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,-1.0
1688592380,628.6307893033276,11.961335000000002,36.0,2.0,33.0,0.0,0.0,34.0,0.0,1.0,0.0,0.0,-1.0
1688592381,630.3680728098657,11.961285000000002,36.0,2.0,33.0,0.0,0.0,32.5,0.0,1.0,0.0,0.0,-1.0
1688592382,631.377669538846,11.960632653061229,36.0,2.0,33.0,0.0,0.0,31.0,0.0,1.0,0.0,0.0,-1.0
1688592383,623.4447410738479,11.960074999999994,36.0,2.0,33.0,0.0,0.0,38.0,0.0,1.0,0.0,0.0,-1.0
1688592384,635.8864991590837,11.960605,36.0,2.0,33.0,0.0,0.0,34.0,0.0,1.0,0.0,0.0,-1.0
1688592385,631.2066484288874,11.960529999999997,36.0,2.0,34.0,0.0,0.0,39.0,0.0,1.0,0.0,0.0,-1.0
1688592386,631.3767833000643,11.960494999999996,36.0,2.0,34.5,0.0,0.0,27.0,0.0,1.0,0.0,0.0,-1.0
1688592387,634.3024425245226,11.960725000000002,36.0,2.0,35.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,-1.0
1688592388,629.1897049950951,11.960540816326528,36.0,2.0,36.0,0.0,0.0,30.0,0.0,1.0,0.0,0.0,-1.0
1688592389,630.9041014574865,11.960647058823527,37.0,2.0,36.0,0.0,0.0,33.0,0.0,1.0,0.0,0.0,-1.0
1688592390,634.01803058907,11.9605,36.5,2.0,36.5,0.0,0.0,25.5,0.0,1.0,0.0,0.0,-1.0
1688592391,627.9128327405033,11.960408163265305,36.0,2.0,37.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,-1.0
1688592392,640.1244116830217,11.960725000000004,37.0,2.0,37.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,-1.0
1688592393,632.7076392827634,11.960059999999991,36.0,2.0,37.0,0.0,0.0,35.0,2.0,1.0,0.0,0.0,-1.0
