TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS,FRAME_INDEX,FRAME_SUCCESS
1687917174,1796.0,15228.0,200.0,0.0,0.0,0.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,31.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917175,1819.0,15228.0,200.0,0.0,0.0,0.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,15.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917176,1830.0,15228.0,200.0,0.0,0.0,0.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,24.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917177,1799.0,15228.0,200.0,0.0,0.0,0.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,12.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917178,1827.0,15228.0,200.0,0.0,0.0,0.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,13.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917179,1810.0,15228.0,200.0,0.0,0.0,0.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,18.5,0.0,-1.0,-1.0,-1.0,-1.0
1687917180,1830.0,15223.0,200.0,0.0,0.0,200.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,24.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917181,1804.0,15228.0,200.0,0.0,0.0,200.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,12.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917182,1821.0,15223.0,200.0,0.0,0.0,200.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,25.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917183,1816.0,15228.0,200.0,0.0,0.0,200.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,11.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917184,1819.0,15228.0,200.0,0.0,0.0,200.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,11.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917185,1827.0,15223.0,200.0,0.0,0.0,200.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,18.5,0.0,-1.0,-1.0,-1.0,-1.0
1687917186,1841.0,15223.0,200.0,0.0,0.0,200.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,26.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917187,1785.0,15228.0,200.0,0.0,0.0,200.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,8.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917188,1788.0,15228.0,200.0,0.0,0.0,200.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,28.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917189,1788.0,15228.0,200.0,0.0,0.0,200.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,9.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917190,2063.0,15214.0,200.0,0.0,0.0,200.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,10.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917191,1796.0,15223.0,400.0,0.0,0.0,200.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,19.5,0.0,-1.0,-1.0,-1.0,-1.0
1687917192,2027.0,15214.0,400.0,0.0,0.0,200.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,29.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917193,1793.0,15228.0,400.0,0.0,0.0,200.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,6.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917194,2027.0,15214.0,400.0,0.0,0.0,200.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,30.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917195,1667.0,15228.0,400.0,0.0,0.0,400.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,580.0,0.0,0.0,0.0,580.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,9.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917196,1903.0,15219.0,400.0,0.0,0.0,400.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,580.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,29.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917197,1678.0,15219.0,400.0,0.0,0.0,400.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,580.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,7.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917198,1909.0,15219.0,400.0,0.0,0.0,400.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,580.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,8.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917199,1692.0,15228.0,400.0,0.0,0.0,400.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,580.0,0.0,0.0,0.0,560.0,0.0,0.0,11.5,8.0,31.0,0.0,0.0,18.5,0.0,-1.0,-1.0,-1.0,-1.0
1687917200,1900.0,15219.0,400.0,0.0,0.0,400.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,580.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,29.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917201,1667.0,15233.0,400.0,0.0,0.0,400.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,580.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,6.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917202,1937.0,15214.0,400.0,0.0,0.0,400.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,580.0,0.0,0.0,0.0,580.0,0.0,0.0,11.0,8.0,31.0,0.0,0.0,29.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917203,1695.0,15228.0,600.0,0.0,0.0,400.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,580.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,8.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917204,1909.0,15219.0,600.0,0.0,0.0,400.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,580.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,10.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917205,1667.0,15233.0,600.0,0.0,0.0,400.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,580.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,18.5,0.0,-1.0,-1.0,-1.0,-1.0
1687917206,1911.0,15219.0,600.0,0.0,0.0,400.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,580.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,27.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917207,1672.0,15233.0,600.0,0.0,0.0,600.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,120.0,580.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,9.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917208,1945.0,15214.0,600.0,0.0,0.0,600.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,120.0,580.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,27.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917209,1692.0,15233.0,600.0,0.0,0.0,600.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,580.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,10.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917210,1909.0,15219.0,600.0,0.0,0.0,600.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,580.0,0.0,0.0,0.0,600.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,11.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917211,1698.0,15228.0,600.0,0.0,0.0,600.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,580.0,0.0,0.0,0.0,600.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,18.0,0.0,-1.0,-1.0,-1.0,-1.0
1687917212,1920.0,15214.0,800.0,0.0,0.0,600.0,0.0,0.0,15000.0,-290.0,15000.0,-290.0,3300.0,140.0,580.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,8.0,31.0,0.0,0.0,25.0,0.0,-1.0,-1.0,-1.0,-1.0
