TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1687307710,1357.0,15847.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-190.0,15600.0,-190.0,3300.0,120.0,340.0,0.0,0.0,0.0,540.0,0.0,0.0,11.0,2.0,31.0,0.0,0.0,44.0,0.0,-1.0,-1.0
1687307711,1352.0,15842.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-190.0,15600.0,-190.0,3300.0,120.0,340.0,0.0,0.0,0.0,540.0,0.0,0.0,11.0,2.0,31.0,0.0,0.0,25.0,0.0,-1.0,-1.0
1687307712,1563.0,15842.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-190.0,15600.0,-190.0,3300.0,120.0,340.0,0.0,0.0,0.0,540.0,0.0,0.0,11.0,2.0,31.0,0.0,0.0,22.0,0.0,-1.0,-1.0
1687307713,1363.0,15847.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-190.0,15600.0,-190.0,3300.0,120.0,340.0,0.0,0.0,0.0,540.0,0.0,0.0,11.0,2.0,31.0,0.0,0.0,21.5,0.0,-1.0,-1.0
1687307714,1343.0,15847.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-190.0,15600.0,-190.0,3300.0,120.0,340.0,0.0,0.0,0.0,540.0,0.0,0.0,11.0,2.0,31.0,0.0,0.0,21.0,0.0,-1.0,-1.0
1687307715,1341.0,15842.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-190.0,15600.0,-190.0,3300.0,120.0,340.0,0.0,0.0,0.0,540.0,0.0,0.0,11.0,2.0,31.0,0.0,0.0,36.0,0.0,-1.0,-1.0
1687307716,1352.0,15847.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-190.0,15600.0,-190.0,3300.0,120.0,340.0,0.0,0.0,0.0,540.0,0.0,0.0,11.0,2.0,31.0,0.0,0.0,27.0,0.0,-1.0,-1.0
1687307717,1360.0,15842.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-190.0,15600.0,-190.0,3300.0,120.0,340.0,0.0,0.0,0.0,540.0,0.0,0.0,11.0,2.0,31.0,0.0,0.0,31.5,0.0,-1.0,-1.0
1687307718,1329.0,15842.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-190.0,15600.0,-190.0,3300.0,120.0,340.0,0.0,0.0,0.0,540.0,0.0,0.0,11.0,2.0,31.0,0.0,0.0,36.0,0.0,-1.0,-1.0
1687307719,1363.0,15842.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-190.0,15600.0,-190.0,3300.0,140.0,340.0,0.0,0.0,0.0,540.0,0.0,0.0,11.0,2.0,31.0,0.0,0.0,11.0,0.0,-1.0,-1.0
