TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1687482682,1653.0,15903.0,600.0,0.0,0.0,400.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,580.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,29.0,0.0,-1.0,-1.0
1687482683,1866.0,15889.0,600.0,0.0,0.0,600.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,580.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,18.0,0.0,-1.0,-1.0
1687482684,1667.0,15898.0,600.0,0.0,0.0,600.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,560.0,0.0,0.0,0.0,580.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,21.0,0.0,-1.0,-1.0
1687482685,1864.0,15889.0,600.0,0.0,0.0,600.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,560.0,0.0,0.0,0.0,580.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,15.0,0.0,-1.0,-1.0
1687482686,1647.0,15898.0,600.0,0.0,0.0,600.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,580.0,0.0,0.0,0.0,580.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,18.0,1.0,-1.0,-1.0
1687482687,1864.0,15889.0,600.0,0.0,0.0,600.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,580.0,0.0,0.0,0.0,580.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,18.0,0.5,-1.0,-1.0
1687482688,1661.0,15898.0,800.0,0.0,0.0,600.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,560.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,18.0,0.0,-1.0,-1.0
1687482689,1889.0,15884.0,800.0,0.0,0.0,600.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,560.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,18.0,0.0,-1.0,-1.0
1687482690,1639.0,15898.0,800.0,0.0,0.0,600.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,580.0,0.0,0.0,0.0,580.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,20.0,0.0,-1.0,-1.0
1687482691,1841.0,15889.0,800.0,0.0,0.0,600.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,560.0,0.0,0.0,0.0,580.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,17.0,0.0,-1.0,-1.0
1687482692,1650.0,15898.0,800.0,0.0,0.0,800.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,560.0,0.0,0.0,0.0,600.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,19.0,1.0,-1.0,-1.0
1687482693,1864.0,15884.0,800.0,0.0,0.0,800.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,560.0,0.0,0.0,0.0,600.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,19.0,0.5,-1.0,-1.0
1687482694,1667.0,15898.0,1000.0,0.0,0.0,800.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,120.0,580.0,0.0,0.0,0.0,580.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1687482695,1864.0,15889.0,1000.0,0.0,0.0,800.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,560.0,0.0,0.0,0.0,580.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,17.0,0.0,-1.0,-1.0
1687482696,1650.0,15898.0,1000.0,0.0,0.0,800.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,120.0,580.0,0.0,0.0,0.0,600.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1687482697,1841.0,15884.0,1000.0,0.0,0.0,800.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,580.0,0.0,0.0,0.0,600.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1687482698,1667.0,15898.0,1000.0,0.0,0.0,1000.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,120.0,560.0,0.0,0.0,0.0,580.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,16.0,1.0,-1.0,-1.0
1687482699,1914.0,15889.0,1000.0,0.0,0.0,1000.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,560.0,0.0,0.0,0.0,580.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,17.0,0.0,-1.0,-1.0
1687482700,1686.0,15898.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,580.0,0.0,0.0,0.0,580.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,18.0,0.0,-1.0,-1.0
1687482701,1883.0,15884.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,580.0,0.0,0.0,0.0,580.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1687482702,1639.0,15898.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,120.0,560.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,16.0,0.0,-1.0,-1.0
1687482703,1869.0,15884.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,580.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,4.0,31.0,0.0,0.0,21.0,0.0,-1.0,-1.0
1687482704,1681.0,15898.0,1200.0,0.0,0.0,1200.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,580.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,4.0,31.0,0.0,0.0,14.0,1.0,-1.0,-1.0
1687482705,1875.0,15884.0,1200.0,0.0,0.0,1200.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,580.0,0.0,0.0,0.0,580.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,15.0,0.0,-1.0,-1.0
1687482706,1655.0,15894.0,1400.0,0.0,0.0,1200.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,580.0,0.0,0.0,0.0,580.0,0.0,0.0,11.5,4.0,31.0,0.0,0.0,17.5,0.0,-1.0,-1.0
1687482707,1852.0,15884.0,1400.0,0.0,0.0,1400.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,560.0,0.0,0.0,0.0,580.0,0.0,0.0,12.0,4.0,31.0,0.0,0.0,20.0,0.0,-1.0,-1.0
1687482708,1653.0,15898.0,1400.0,0.0,0.0,1400.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,560.0,0.0,0.0,0.0,560.0,0.0,0.0,11.0,4.0,31.0,0.0,0.0,15.0,0.0,-1.0,-1.0
1687482709,1875.0,15884.0,1600.0,0.0,0.0,1400.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,560.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,4.0,31.0,0.0,0.0,24.0,0.0,-1.0,-1.0
1687482710,1664.0,15898.0,1600.0,0.0,0.0,1600.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,560.0,0.0,0.0,0.0,600.0,0.0,0.0,12.0,4.0,31.0,0.0,0.0,13.0,1.0,-1.0,-1.0
1687482711,1838.0,15884.0,1600.0,0.0,0.0,1600.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,120.0,560.0,0.0,0.0,0.0,600.0,0.0,0.0,12.0,4.0,31.0,0.0,0.0,13.0,0.0,-1.0,-1.0
1687482712,1650.0,15894.0,1800.0,0.0,0.0,1600.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,560.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,4.0,31.0,0.0,0.0,18.0,0.0,-1.0,-1.0
1687482713,1875.0,15884.0,1800.0,0.0,0.0,1800.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,560.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,4.0,31.0,0.0,0.0,23.0,0.0,-1.0,-1.0
1687482714,1658.0,15894.0,1800.0,0.0,0.0,1800.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,120.0,580.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,4.0,31.0,0.0,0.0,13.0,0.0,-1.0,-1.0
1687482715,1866.0,15884.0,2000.0,0.0,0.0,1800.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,560.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,4.0,31.0,0.0,0.0,26.0,0.0,-1.0,-1.0
1687482716,1838.0,15884.0,2000.0,0.0,0.0,2000.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,560.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,4.0,31.0,0.0,0.0,12.0,0.0,-1.0,-1.0
1687482717,1861.0,15884.0,2000.0,0.0,0.0,2000.0,0.0,0.0,15800.0,-190.0,15800.0,-190.0,3300.0,140.0,580.0,0.0,0.0,0.0,560.0,0.0,0.0,12.0,4.0,31.0,0.0,0.0,25.0,0.0,-1.0,-1.0
