TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS,FRAME_INDEX,FRAME_SUCCESS
1687787387,1495.0,15700.0,200.0,0.0,0.0,0.0,0.0,0.0,15600.0,-220.0,15600.0,-210.0,3300.0,120.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,16.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787388,1481.0,15705.0,200.0,0.0,0.0,0.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,30.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787389,1492.0,15705.0,200.0,0.0,0.0,0.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,13.0,4.0,31.0,0.0,0.0,9.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787390,1678.0,15691.0,200.0,0.0,0.0,0.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,29.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787391,1495.0,15700.0,200.0,0.0,0.0,0.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,600.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,7.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787392,1681.0,15691.0,200.0,0.0,0.0,200.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,600.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,8.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787393,1512.0,15705.0,200.0,0.0,0.0,200.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,600.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,18.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787394,1695.0,15691.0,200.0,0.0,0.0,200.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,600.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,28.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787395,1478.0,15705.0,200.0,0.0,0.0,200.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,8.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787396,1476.0,15700.0,200.0,0.0,0.0,200.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,31.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787397,1490.0,15700.0,200.0,0.0,0.0,200.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,8.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787398,1521.0,15705.0,200.0,0.0,0.0,200.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,28.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787399,1537.0,15700.0,200.0,0.0,0.0,200.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,28.0,1.0,-1.0,-1.0,-1.0,-1.0
1687787400,1495.0,15700.0,200.0,0.0,0.0,200.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,18.5,1.0,-1.0,-1.0,-1.0,-1.0
1687787401,1450.0,15700.0,200.0,0.0,0.0,200.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,9.0,1.0,-1.0,-1.0,-1.0,-1.0
1687787402,1470.0,15705.0,200.0,0.0,0.0,200.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,26.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787403,1445.0,15700.0,400.0,0.0,0.0,200.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,12.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787404,1461.0,15700.0,400.0,0.0,0.0,200.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,25.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787405,1495.0,15700.0,400.0,0.0,0.0,200.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,600.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,10.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787406,1695.0,15691.0,400.0,0.0,0.0,200.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,120.0,540.0,0.0,0.0,0.0,600.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,11.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787407,1495.0,15700.0,400.0,0.0,0.0,400.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,17.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787408,1681.0,15691.0,400.0,0.0,0.0,400.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,23.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787409,1492.0,15700.0,400.0,0.0,0.0,400.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,11.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787410,1906.0,15677.0,400.0,0.0,0.0,400.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,27.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787411,1492.0,15695.0,400.0,0.0,0.0,400.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,11.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787412,1650.0,15691.0,400.0,0.0,0.0,400.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,26.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787413,1490.0,15695.0,400.0,0.0,0.0,400.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,25.5,0.0,-1.0,-1.0,-1.0,-1.0
1687787414,1664.0,15686.0,400.0,0.0,0.0,400.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,520.0,0.0,0.0,0.0,580.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,25.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787415,1490.0,15700.0,400.0,0.0,0.0,400.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,10.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787416,1490.0,15695.0,400.0,0.0,0.0,400.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,26.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787417,1495.0,15700.0,400.0,0.0,0.0,400.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,600.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,12.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787418,1473.0,15700.0,600.0,0.0,0.0,400.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,600.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,25.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787419,1492.0,15700.0,600.0,0.0,0.0,600.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,11.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787420,1703.0,15686.0,600.0,0.0,0.0,600.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,10.5,0.0,-1.0,-1.0,-1.0,-1.0
1687787421,1495.0,15695.0,600.0,0.0,0.0,600.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,10.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787422,1506.0,15700.0,600.0,0.0,0.0,600.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,24.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787423,1490.0,15695.0,600.0,0.0,0.0,600.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,520.0,0.0,0.0,0.0,600.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,13.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787424,1498.0,15695.0,800.0,0.0,0.0,600.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,600.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,25.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787425,1492.0,15700.0,800.0,0.0,0.0,600.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,12.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787426,1706.0,15686.0,800.0,0.0,0.0,600.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,120.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,14.5,4.0,31.0,0.0,0.0,12.5,0.0,-1.0,-1.0,-1.0,-1.0
1687787427,1487.0,15695.0,800.0,0.0,0.0,600.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,13.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787428,1453.0,15695.0,800.0,0.0,0.0,800.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,80.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,23.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787429,1498.0,15695.0,800.0,0.0,0.0,800.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,13.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787430,1490.0,15700.0,1000.0,0.0,0.0,800.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,120.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,14.0,4.0,31.0,0.0,0.0,24.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787431,1450.0,15695.0,1000.0,0.0,0.0,800.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,600.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,14.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787432,1672.0,15686.0,1000.0,0.0,0.0,800.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,600.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,21.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787433,1501.0,15695.0,1000.0,0.0,0.0,800.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,21.5,0.0,-1.0,-1.0,-1.0,-1.0
1687787434,1709.0,15686.0,1000.0,0.0,0.0,1000.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,22.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787435,1495.0,15695.0,1000.0,0.0,0.0,1000.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,13.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787436,1456.0,15695.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,22.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787437,1509.0,15695.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,16.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787438,1670.0,15686.0,1200.0,0.0,0.0,1000.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,20.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787439,1501.0,15695.0,1400.0,0.0,0.0,1000.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,20.5,0.0,-1.0,-1.0,-1.0,-1.0
1687787440,1700.0,15686.0,1400.0,0.0,0.0,1200.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,21.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787441,1495.0,15686.0,1400.0,0.0,0.0,1200.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,520.0,0.0,0.0,0.0,560.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,14.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787442,1504.0,15695.0,1400.0,0.0,0.0,1200.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,120.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,21.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787443,1487.0,15695.0,1400.0,0.0,0.0,1400.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,18.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787444,1521.0,15695.0,1400.0,0.0,0.0,1400.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787445,1481.0,15695.0,1600.0,0.0,0.0,1400.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,600.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787446,1484.0,15695.0,1600.0,0.0,0.0,1600.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,600.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787447,1470.0,15695.0,1600.0,0.0,0.0,1600.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,17.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787448,1473.0,15695.0,1800.0,0.0,0.0,1600.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,18.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787449,1515.0,15695.0,1800.0,0.0,0.0,1800.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787450,1478.0,15695.0,1800.0,0.0,0.0,1800.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,580.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,18.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787451,1498.0,15695.0,2000.0,0.0,0.0,1800.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,18.0,0.0,-1.0,-1.0,-1.0,-1.0
1687787452,1498.0,15695.0,2000.0,0.0,0.0,2000.0,0.0,0.0,15600.0,-220.0,15600.0,-220.0,3300.0,140.0,540.0,0.0,0.0,0.0,560.0,0.0,0.0,15.0,4.0,31.0,0.0,0.0,18.5,0.0,-1.0,-1.0,-1.0,-1.0
