TIME,Main(mA),Main Voltage(V),TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS,FRAME_INDEX,FRAME_SUCCESS
1688767107,715.6937092254749,11.961838888888892,39.0,12.8,31.0,0.0,0.0,16.0,0.0,-1.0,-1.0,-1.0,-1.0
1688767108,724.6633717645909,11.961147058823531,39.0,12.8,31.0,0.0,0.0,25.0,1.0,1.0,1.0,0.0,-1.0
1688767109,717.3865708793982,11.961565000000002,39.0,12.8,32.0,0.0,0.0,31.0,1.0,1.0,1.0,0.0,-1.0
1688767110,718.072520440574,11.961673469387756,39.0,12.8,32.0,0.0,0.0,12.0,0.0,1.0,1.0,0.0,-1.0
1688767111,728.2542047484924,11.961240000000002,39.0,12.8,32.5,0.0,0.0,20.0,0.5,1.0,1.0,0.0,-1.0
1688767112,720.5626227149769,11.961585000000005,39.0,12.8,33.0,0.0,0.0,28.0,1.0,1.0,1.0,0.0,-1.0
1688767113,725.9127213213691,11.96196,39.0,12.8,34.0,0.0,0.0,19.0,1.0,1.0,1.0,0.0,-1.0
1688767114,723.7824036051737,11.961169999999996,39.0,12.8,36.0,0.0,0.0,26.0,0.0,1.0,1.0,0.0,-1.0
1688767115,734.7596407833215,11.96109,39.0,12.8,38.0,0.0,0.0,19.0,1.0,1.0,1.0,0.0,-1.0
1688767116,722.5204173741943,11.961295000000002,39.0,12.8,35.0,0.0,0.0,42.0,1.0,1.0,1.0,0.0,-1.0
1688767117,727.9047998067836,11.961668367346942,39.0,12.8,36.0,0.0,0.0,29.0,2.0,1.0,1.0,0.0,-1.0
1688767118,729.1007450912343,11.961421568627452,39.0,12.8,35.0,0.0,0.0,47.0,2.0,1.0,1.0,0.0,-1.0
1688767119,729.3379142174182,11.961345,39.0,12.8,35.0,0.0,0.0,40.5,2.5,1.0,1.0,0.0,-1.0
1688767120,762.3722957883381,11.960678571428572,39.0,12.8,35.0,0.0,0.0,34.0,3.0,1.0,1.0,0.0,-1.0
1688767121,785.9202962525923,11.961617647058826,40.0,12.8,37.0,0.0,0.0,43.0,2.0,1.0,1.0,0.0,-1.0
1688767122,808.6852918362741,11.96185,40.0,12.8,45.0,0.0,0.0,55.0,4.0,1.0,1.0,0.0,-1.0
1688767123,1012.524718986148,11.958739795918367,40.0,12.8,49.0,0.0,0.0,100.0,4.0,1.0,1.0,1.0,1.0
1688767124,923.3820104479316,11.960535,41.0,12.8,51.0,0.0,0.0,100.0,7.0,1.0,1.0,13.0,1.0
1688767125,970.1633953242248,11.959686274509805,41.0,12.8,51.5,0.0,0.0,100.0,10.0,1.0,1.0,25.0,1.0
1688767126,838.6347369946016,11.965204081632647,41.0,12.8,52.0,0.0,0.0,100.0,13.0,1.0,1.0,37.0,1.0
1688767127,896.9708083144374,11.962904999999996,41.0,12.8,53.0,13.0,0.0,100.0,12.0,1.0,1.0,49.0,1.0
1688767128,876.0677484290944,11.96351020408163,41.0,12.8,53.0,13.0,0.0,100.0,10.0,1.0,1.0,61.0,1.0
1688767129,986.4604711655144,11.95663235294118,41.0,12.8,53.0,15.0,0.0,100.0,12.0,1.0,1.0,73.0,1.0
1688767130,904.5286139561936,11.965145,41.5,12.8,53.0,15.0,0.0,100.0,10.0,1.0,1.0,85.0,1.0
1688767131,891.3817294013309,11.965183673469388,42.0,12.8,53.0,15.0,0.0,100.0,8.0,1.0,1.0,97.0,1.0
1688767132,876.2851459142048,11.963485294117646,42.0,12.8,53.0,15.0,0.0,100.0,9.0,1.0,1.0,109.0,1.0
1688767133,905.0611212949366,11.965024999999995,42.0,12.8,53.0,16.0,0.0,100.0,9.0,1.0,1.0,121.0,1.0
1688767134,986.3726345867296,11.957693877551028,42.0,12.8,53.0,16.0,0.0,100.0,9.0,1.0,1.0,133.0,1.0
1688767135,983.120971732827,11.957675000000002,42.0,12.8,53.0,15.5,0.0,100.0,9.0,1.0,1.0,145.0,1.0
1688767136,908.2505276996736,11.964416666666668,42.0,12.8,53.0,15.0,0.0,100.0,9.0,1.0,1.0,157.0,1.0
1688767137,888.9994896180074,11.96395,42.0,12.8,53.0,15.0,0.0,100.0,9.0,1.0,1.0,169.0,1.0
1688767138,952.720754426516,11.96202551020408,42.0,12.8,53.0,16.0,0.0,100.0,14.0,1.0,1.0,181.0,1.0
1688767139,880.5681107461038,11.9655,42.0,12.8,54.0,16.0,0.0,100.0,11.0,1.0,1.0,193.0,1.0
1688767140,942.7748622348126,11.958583333333335,42.0,12.8,53.5,16.5,0.0,100.0,9.5,1.0,1.0,205.0,1.0
1688767141,994.3302877066604,11.959086734693877,42.0,12.8,53.0,17.0,0.0,100.0,8.0,1.0,1.0,217.0,1.0
1688767142,916.3235938945852,11.961860000000003,42.0,12.8,54.0,17.0,0.0,100.0,11.0,1.0,1.0,229.0,1.0
1688767143,898.4645602325243,11.963795918367351,43.0,12.8,53.0,17.0,0.0,100.0,6.0,1.0,1.0,241.0,1.0
1688767144,889.6819827544667,11.962475490196082,43.0,12.8,54.0,16.0,0.0,100.0,12.0,1.0,1.0,253.0,1.0
