TIME,Main(mA),Main Voltage(V),TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1688665110,670.459873346311,11.96161111111111,38.0,8.0,31.0,0.0,0.0,21.0,0.0,-1.0,-1.0
1688665111,676.5026070201878,11.961054999999998,38.0,8.0,31.0,0.0,0.0,13.0,0.0,1.0,1.0
1688665112,670.2692890605166,11.960465686274512,38.0,8.0,32.0,0.0,0.0,40.0,0.0,1.0,1.0
1688665113,675.7630824298423,11.961663265306129,38.0,8.0,32.0,0.0,0.0,25.0,0.0,1.0,1.0
1688665114,674.8127158090095,11.960635000000002,38.0,8.0,33.0,0.0,0.0,18.0,0.0,1.0,1.0
1688665115,677.9540144706331,11.960290000000002,38.0,8.0,33.0,0.0,0.0,25.0,0.0,1.0,1.0
1688665116,674.2866238495661,11.959642156862747,38.0,8.0,34.0,0.0,0.0,28.0,0.0,1.0,1.0
1688665117,673.5216368615191,11.96069387755102,38.0,8.0,35.0,0.0,0.0,31.0,0.0,1.0,1.0
1688665118,677.4135650738524,11.96002,38.0,8.0,36.0,0.0,0.0,19.0,0.0,1.0,1.0
1688665119,712.653324335125,11.958759999999996,38.0,8.0,37.0,0.0,0.0,17.0,0.0,1.0,1.0
1688665120,674.8427918084745,11.96027551020408,38.0,8.0,37.0,0.0,0.0,34.0,3.0,1.0,1.0
1688665121,678.9080861331237,11.960264705882352,38.0,8.0,35.0,0.0,0.0,37.0,0.0,1.0,1.0
1688665122,679.7413221145196,11.96124,38.0,8.0,35.5,0.0,0.0,39.5,0.0,2.0,1.0
1688665123,678.0841832593729,11.960535714285715,38.0,8.0,36.0,0.0,0.0,42.0,0.0,2.0,1.0
1688665124,676.6287494923325,11.960540000000004,39.0,8.0,35.0,0.0,0.0,42.0,3.0,2.0,1.0
1688665125,682.849390723255,11.959813725490196,39.0,8.0,35.0,0.0,0.0,39.0,0.0,3.0,1.0
1688665126,673.2268140239795,11.960632653061223,39.0,8.0,38.0,0.0,0.0,47.0,2.0,3.0,1.0
1688665127,674.9616410729874,11.95996,39.0,8.0,35.0,0.0,0.0,40.0,3.0,3.0,1.0
1688665128,683.6488504516217,11.960765000000004,39.0,8.0,36.0,0.0,0.0,46.0,0.0,4.0,1.0
1688665129,676.5708616289171,11.961313725490196,39.0,8.0,37.5,0.0,0.0,43.5,0.0,4.0,1.0
1688665130,672.8323599784139,11.960301020408163,39.0,8.0,39.0,0.0,0.0,41.0,0.0,4.0,1.0
1688665131,684.6239287535433,11.960555,39.0,8.0,35.0,0.0,0.0,46.0,1.0,5.0,1.0
1688665132,676.1274385936855,11.960854999999995,39.0,8.0,37.0,0.0,0.0,50.0,2.0,5.0,1.0
